Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Nr1d1,MC00524;8.32E-02,,,,
STAT5B,MC00452;8.36E-02,,,,
HMGA1,M00750;8.41E-02,M01010;8.45E-01,,,
IKZF1,M00141;8.67E-02,M00088;1.00E-01,,,
SCRT1,MS00179;8.72E-02,,,,
SIX1,UP00192;8.99E-02,,,,
Foxj3,MS00394;9.02E-02,MS00397;9.91E-01,,,
Tcf21,MS00291;9.12E-02,,,,
Cebpb,MC00121;9.29E-02,,,,
JUND,MC00456;9.54E-02,,,,
Hoxd3,MS00521;9.54E-02,,,,
ZNF628,M01081;9.61E-02,,,,
BARHL2,MS00414;9.66E-02,UP00145;5.10E-01,MS00416;7.52E-01,,
SOX10,MS00744;9.81E-02,MA0442;1.40E-01,MS00740;5.53E-01,,
Stat1,MC00141;1.01E-01,,,,
CEBPA,M00159;1.01E-01,MC00273;7.03E-01,,,
NR1H4,M01268;1.03E-01,,,,
Hoxd9,MS00525;1.06E-01,MS00524;7.07E-01,,,
Srebf1,MS00282;1.07E-01,,,,
FOXB1,MS00343;1.07E-01,MS00348;5.55E-01,,,
NEUROG2,MS00272;1.10E-01,,,,
Arx,UP00152;1.11E-01,MS00409;9.85E-01,,,
Myf5,MC00195;1.12E-01,,,,
FOSL1,MC00351;1.14E-01,,,,
DPRX,MS00436;1.17E-01,,,,
PITX2,UP00125;1.18E-01,,,,
HOXC13,MS00505;1.20E-01,MS00504;2.52E-01,,,
Hoxd11,UP00117;1.23E-01,,,,
RFX1,MA0365;1.25E-01,,,,
TEAD4,MS00224;1.28E-01,,,,
E2F8,MS00739;1.29E-01,,,,
Bcl6,MC00111;1.30E-01,,,,
NKX2-1,M01312;1.31E-01,,,,
RARB,MS00811;1.33E-01,,,,
BACH1,M00495;1.35E-01,,,,
STAT5A,MC00453;1.37E-01,,,,
E2F7,MS00756;1.38E-01,,,,
NKX2-5,UP00249;1.38E-01,M00241;8.01E-01,,,
Srf,MC00329;1.40E-01,,,,
TBX18,M01262;1.40E-01,,,,
Sox10,MS00794;1.41E-01,,,,
Stat5b,MC00204;1.43E-01,,,,
AIRE,M00999;1.45E-01,,,,
HOXC10,MS00496;1.47E-01,MS00494;4.81E-01,MS00495;6.40E-01,,
Zfp410,UP00033;1.48E-01,,,,
EMX1,MS00441;1.48E-01,MS00442;9.60E-01,,,
MEIS2,MS00083;1.56E-01,,,,
MEIS1::HOXA9,M00420;1.58E-01,,,,
POU3F1,M00133;1.60E-01,MS00138;7.68E-01,MS00139;9.76E-01,,
IRX5,MS00527;1.64E-01,UP00250;3.25E-01,,,
Nobox,MA0125;1.65E-01,,,,
IRX2,MS00526;1.71E-01,UP00236;5.83E-01,,,
CEBPD,M00621;1.73E-01,MS00299;8.19E-01,,,
HOXD12,MS00837;1.74E-01,MS00836;5.14E-01,,,
PRRX1,MS00599;1.74E-01,MS00602;8.03E-01,,,
HMBOX1,MS00472;1.82E-01,,,,
FOXA2,MC00217;1.83E-01,,,,
FOXC1,MS00351;1.86E-01,MS00350;3.42E-01,MS00349;8.95E-01,,
Dmrtc2,M01151;1.87E-01,,,,
FOS,MC00330;1.90E-01,,,,
PHOX2A,UP00221;1.91E-01,MS00591;9.56E-01,,,
FOXJ3,MS00369;1.91E-01,MS00367;8.17E-01,MS00370;8.82E-01,,
MSC,MS00807;1.91E-01,,,,
TCF7L1,MS00053;1.93E-01,,,,
HOXC9,UP00197;1.97E-01,,,,
Olig2,MC00341;1.98E-01,,,,
SOX9,MS00785;2.01E-01,MS00780;5.45E-01,MS00052;8.50E-01,,
HOXB13,MS00489;2.03E-01,MS00488;4.30E-01,,,
HLF,MS00317;2.06E-01,,,,
HOXD13,MS00510;2.06E-01,MS00511;2.51E-01,,,
NKX2-2,UP00231;2.08E-01,,,,
BCL6B,MS00011;2.10E-01,,,,
Hoxa11,MS00515;2.10E-01,MS00514;2.35E-01,,,
SCRT2,MS00190;2.11E-01,,,,
BHLHE23,MS00250;2.12E-01,,,,
Lbx2,UP00120;2.15E-01,,,,
NR4A2,MS00665;2.15E-01,,,,
STAT4,MC00347;2.15E-01,,,,
UNCX,MS00617;2.20E-01,MS00616;7.44E-01,,,
IRF9,MS00073;2.20E-01,,,,
FOXL1,MS00372;2.22E-01,MS00373;8.75E-01,,,
Batf,MC00508;2.24E-01,,,,
Bcl6b,UP00043;2.27E-01,,,,
NFE2,MS00336;2.28E-01,,,,
Obox6,M01445;2.28E-01,,,,
FOXP3,M00992;2.35E-01,MS00387;3.78E-01,,,
Atf4,MS00295;2.38E-01,,,,
EN2,MS00450;2.39E-01,,,,
DBP,M00624;2.40E-01,MS00315;6.56E-01,,,
Irx3,MS00532;2.46E-01,UP00223;3.79E-01,,,
Homez,UP00114;2.48E-01,,,,
SOX2,MS00762;2.48E-01,MC00269;9.37E-01,,,
HOXC12,MS00503;2.48E-01,MS00502;9.82E-01,,,
Spi1,MC00506;2.49E-01,,,,
EOMES,MC00276;2.54E-01,,,,
FOXD3,MA0041;2.55E-01,MS00359;5.48E-01,MS00358;9.10E-01,,
GSC,MS00464;2.55E-01,,,,
NKX2-8,MS00571;2.55E-01,,,,
Hoxb8,UP00263;2.55E-01,,,,
