,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
35569|SFMBT1,0.28233578678850346,Homo sapiens,SFMBT1,other,HeLa-S3,Epithelium,Cervix,0,SFMBT1
65069|ZNF490,0.28287946240045597,Homo sapiens,ZNF490,,HEK293,Epithelium,Embryonic Kidney,1,ZNF490
77124|ZNF432,0.28391201049217496,Homo sapiens,ZNF432,tf,293T,None,None,1,ZNF432
77072|ZNF620,0.2843362584831729,Homo sapiens,ZNF620,tf,293T,None,None,0,ZNF620
42831|HAND1,0.28463281526924983,Homo sapiens,HAND1,not sure,LoVo,None,Colon,0,HAND1
36354|SNAPC2,0.2849295093501297,Homo sapiens,SNAPC2,not sure,IMR90,Fibroblast,Lung,0,SNAPC2
77162|ZNF205,0.2852263583430359,Homo sapiens,ZNF205,tf,293T,None,None,1,ZNF205
42891|ZNF84,0.2855739278795178,Homo sapiens,ZNF84,predicted transcription factor,LoVo,None,Colon,1,ZNF84
77036|ZNF789,0.2856800015834973,Homo sapiens,ZNF789,other,293T,None,None,1,ZNF789
38820|BARX2,0.286517428636866,Homo sapiens,BARX2,tf,LoVo,None,Colon,1,BARX2
63765|ZNF414,0.2881444673530641,Homo sapiens,ZNF414,,HEK293,Epithelium,Embryonic Kidney,1,ZNF414
64359|ZNF788,0.290072044121933,Homo sapiens,ZNF788,,HEK293,Epithelium,Embryonic Kidney,1,ZNF788
57671|CBX2,0.29165853812110154,Homo sapiens,CBX2,cr,K562,Erythroblast,Bone Marrow,1,CBX2
47774|LDB1,0.29438979657686376,Homo sapiens,LDB1,not sure,None,Erythroid Progenitor Cell,Blood,1,LDB1
38854|DLX2,0.2946797809671337,Homo sapiens,DLX2,tf,LoVo,None,Colon,1,DLX2
41627|BDP1,0.2952833669536107,Homo sapiens,BDP1,tf,IMR90,Fibroblast,Lung,1,BDP1
38709|GLIS3,0.2981571228761058,Homo sapiens,GLIS3,tf,LoVo,None,Colon,0,GLIS3
64840|NONO,0.29930025937082905,Homo sapiens,NONO,,MCF-7,Epithelium,Breast,1,NONO
77142|ZNF300,0.3009562116466823,Homo sapiens,ZNF300,other,293T,None,None,1,ZNF300
77331|SP140,0.30305930487581845,Homo sapiens,SP140,tf,None,Macrophage,None,1,SP140
77104|ZNF506,0.3034116737130991,Homo sapiens,ZNF506,tf,293T,None,None,1,ZNF506
76278|CALU,0.30504711339478696,Homo sapiens,CALU,other,Calu-3,None,Lung,1,CALU
69626|PSMA7,0.3069983454238328,Homo sapiens,PSMA7,other,None,Hematopoietic stem and progenitor cell,None,1,PSMA7
45702|ZNF274,0.30831937333215953,Homo sapiens,ZNF274,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,ZNF274
38792|MEIS3,0.3084577650960191,Homo sapiens,MEIS3,tf,LoVo,None,Colon,0,MEIS3
65080|ZNF582,0.3087190365864526,Homo sapiens,ZNF582,,HEK293,Epithelium,Embryonic Kidney,0,ZNF582
65143|ZNF354A,0.31566016052570955,Homo sapiens,ZNF354A,,HEK293,Epithelium,Embryonic Kidney,0,ZNF354A
77106|ZNF492,0.31629038162415624,Homo sapiens,ZNF492,tf,293T,None,None,0,ZNF492
77191|ZFP14,0.3164337833838662,Homo sapiens,ZFP14,tf,293T,None,None,1,ZFP14
45690|BACH1,0.3165477262007129,Homo sapiens,BACH1,tf,H1,Embryonic Stem Cell,Embryo,1,BACH1
38780|LMX1B,0.3170356490704001,Homo sapiens,LMX1B,tf,LoVo,None,Colon,0,LMX1B
38655|HOXC6,0.3182569702038637,Homo sapiens,HOXC6,tf,LoVo,None,Colon,0,HOXC6
40348|CHD5,0.3185279132541749,Homo sapiens,CHD5,cr,SH-SY5Y,None,Bone Marrow,1,CHD5
76830|SETX,0.3187482330063134,Homo sapiens,SETX,other,A549,Epithelium,Lung,0,SETX
72432|GUCY1B3,0.3211712331477752,Homo sapiens,GUCY1B3,other,U87,glioma cancer cell line overexpressing sGC-beta1,None,1,GUCY1B3
77099|ZNF530,0.3234611925555257,Homo sapiens,ZNF530,tf,293T,None,None,1,ZNF530
77088|ZNF564,0.3251205274088768,Homo sapiens,ZNF564,tf,293T,None,None,1,ZNF564
77152|ZNF267,0.32651999906534496,Homo sapiens,ZNF267,tf,293T,None,None,1,ZNF267
77031|ZNF799,0.32706814275543344,Homo sapiens,ZNF799,tf,293T,None,None,1,ZNF799
77028|ZNF805,0.3270734141602016,Homo sapiens,ZNF805,other,293T,None,None,1,ZNF805
65168|ZBTB12,0.32722410230920884,Homo sapiens,ZBTB12,,HEK293,Epithelium,Embryonic Kidney,0,ZBTB12
