,0,TF
MS00096|TGIF2,0.1515938413808675,TGIF2
UP00034|Sox7,0.15226915946821565,Sox7
M01306|ZNF217,0.15410899081319063,ZNF217
UP00045|MAFB,0.15441087169060352,MAFB
MS00376|FOXO1,0.15589202478220604,FOXO1
MC00330|FOS,0.15653292307658204,FOS
MS00253|CLOCK,0.15708087001963963,CLOCK
MC00121|Cebpb,0.15717864236642343,Cebpb
MS00472|HMBOX1,0.17076063942320366,HMBOX1
MS00280|OLIG3,0.17140028452007477,OLIG3
MC00303|Sox2,0.17294553791265677,Sox2
MS00093|Pknox2,0.17599487480121592,Pknox2
MC00129|Fli1,0.17676688541029137,Fli1
M01150|Dmrta2,0.18603719684073053,Dmrta2
MC00119|GATA3,0.18611351632608858,GATA3
MS00474|HMX2,0.18620937290337647,HMX2
MS00070|IRF7,0.1863017225113804,IRF7
MS00055|HOMEZ,0.18791774812938353,HOMEZ
MS00387|FOXP3,0.18857024191137095,FOXP3
UP00114|Homez,0.19038318525890918,Homez
UP00048|RARA,0.19678010466553114,RARA
MS00609|RHOXF1,0.19687232942870417,RHOXF1
MS00276|OLIG1,0.20513540766491425,OLIG1
MS00094|TGIF1,0.2090917652499701,TGIF1
MS00484|HOXA13,0.20976781787018256,HOXA13
MS00076|MEF2D,0.21324955267324863,MEF2D
MS00837|HOXD12,0.21525874625061783,HOXD12
MS00201|SNAI2,0.21615229700198133,SNAI2
UP00169|LMX1B,0.21787878961796894,LMX1B
UP00152|Arx,0.21847641811078103,Arx
UP00197|HOXC9,0.22067974146286098,HOXC9
UP00078|ARID3A,0.2214681107931211,ARID3A
MC00135|Rela,0.2251749085321585,Rela
MS00250|BHLHE23,0.22744716584922692,BHLHE23
UP00140|Hoxd1,0.22898530322901822,Hoxd1
MS00390|ZNF238,0.23215726185226915,ZNF238
UP00037|Zfp105,0.23608812849070587,Zfp105
MS00041|Spic,0.24603949383233162,Spic
MS00621|VAX2,0.2476986894405593,VAX2
MC00195|Myf5,0.24903541573721394,Myf5
MA0152|NFATC2,0.25542822094247014,NFATC2
MS00634|CUX2,0.2563800319660578,CUX2
MS00245|BHLHA15,0.25685422299085864,BHLHA15
MC00408|Myb,0.25807433457955237,Myb
MC00324|Gata4,0.2583446474618778,Gata4
MC00231|MEF2C,0.2592384163708877,MEF2C
MA0041|FOXD3,0.2607637312560287,FOXD3
MC00371|JUNB,0.2635665402075463,JUNB
MC00513|SFPI1,0.27061908656635414,SFPI1
MS00249|BHLHE22,0.2708336056616037,BHLHE22
MS00596|PITX3,0.2729493095986017,PITX3
UP00192|SIX1,0.2742487599645864,SIX1
M00155|NR2F2,0.27642053292507995,NR2F2
MS00045|GATA5,0.27776112699110994,GATA5
MC00325|Gata2,0.2796459583645524,Gata2
MC00378|POU5F1,0.2863242877998197,POU5F1
MS00527|IRX5,0.2874378383719268,IRX5
M00062|IRF1,0.2879709867805722,IRF1
M01722|RORB,0.2910566387026561,RORB
MS00481|HOXA10,0.29228356865066785,HOXA10
MS00547|Lhx4,0.29241674954113334,Lhx4
UP00261|LHX4,0.2924486875529013,LHX4
MC00407|Myc,0.2943619785588875,Myc
MS00266|MLX,0.2952411777790526,MLX
MS00492|HOXB3,0.29578050932856487,HOXB3
M01262|TBX18,0.2970994777308213,TBX18
