,0,TF
M01146|DMRT1,0.23782895758874295,DMRT1
MS00586|Otx1,0.23832863796697715,Otx1
MC00467|RXRA,0.24892794549283018,RXRA
MA0108|TBP,0.25274297329483075,TBP
MS00511|HOXD13,0.2535294283050325,HOXD13
M01364|Obox2,0.2565057408074323,Obox2
MS00270|Mlx,0.27443725829431787,Mlx
MS00808|TFEC,0.2786843503487755,TFEC
M01445|Obox6,0.3029031900683976,Obox6
MS00487|HOXA2,0.30618009524642503,HOXA2
MC00304|FOXH1,0.31426205174420907,FOXH1
MS00358|FOXD3,0.31442997217380253,FOXD3
MC00186|Nr1d2,0.32979607071938494,Nr1d2
MC00312|RUNX1,0.33855613390159084,RUNX1
MC00329|Srf,0.34365072326435925,Srf
M01723|SATB1,0.3477554999023633,SATB1
MS00493|HOXB5,0.3479008132749946,HOXB5
UP00388|SIX6,0.3489419054762499,SIX6
M00241|NKX2-5,0.34928634127958874,NKX2-5
UP00114|Homez,0.34966304606980436,Homez
MS00516|Hoxa2,0.3570269322824464,Hoxa2
MS00222|TEAD3,0.36001355829820264,TEAD3
MC00204|Stat5b,0.3662029457561907,Stat5b
MS00800|Sox1,0.3668534232725379,Sox1
UP00125|PITX2,0.36922972108207797,PITX2
M01728|NR2F6,0.37171526504686125,NR2F6
MS00454|EVX1,0.3730139124452264,EVX1
MS00526|IRX2,0.37620729624694355,IRX2
M01004|IKZF2,0.3779875976463482,IKZF2
MC00119|GATA3,0.3784943490236155,GATA3
M01300|HMGA2,0.3794381997499936,HMGA2
UP00248|Pax7,0.38486269519576377,Pax7
MS00143|POU3F3,0.38532539645534947,POU3F3
MS00532|Irx3,0.38917173220660983,Irx3
UP00242|HOXC8,0.39018559778516126,HOXC8
MS00295|Atf4,0.39145361047920707,Atf4
MS00490|ZSCAN4,0.3922442354954783,ZSCAN4
M00624|DBP,0.39303353300836663,DBP
MC00211|NFATC1,0.40592271482882836,NFATC1
M01132|SF1,0.4092907214355055,SF1
MS00086|Meis2,0.4094523502536178,Meis2
M00416|ALX1,0.41013567509679727,ALX1
UP00261|LHX4,0.41114405678529997,LHX4
MS00513|HOXD8,0.4141963929757464,HOXD8
UP00019|ZBTB12,0.4244126165346377,ZBTB12
M00159|CEBPA,0.4258976641319475,CEBPA
MS00486|HOXA1,0.4264182276874,HOXA1
MC00354|Neurod1,0.43056209877190976,Neurod1
MS00419|BSX,0.43061248753719594,BSX
UP00221|PHOX2A,0.4314510932974418,PHOX2A
MS00289|TFEB,0.4329481205434642,TFEB
MC00205|Stat5a,0.43520666740272584,Stat5a
MS00690|ONECUT3,0.440797740859301,ONECUT3
MA0130|ZNF354C,0.4408793772399816,ZNF354C
MS00492|HOXB3,0.44236205430824127,HOXB3
MS00313|Creb5,0.443813087289881,Creb5
UP00186|MEIS1,0.4516632995159212,MEIS1
MS00563|Meox2,0.45580740589405644,Meox2
MS00641|Esrra,0.456370616242456,Esrra
UP00113|HOXC4,0.45655439709282786,HOXC4
MC00217|FOXA2,0.4582202046871461,FOXA2
MS00731|ZNF713,0.46016927762758175,ZNF713
UP00120|Lbx2,0.4611787732354159,Lbx2
MC00129|Fli1,0.46227149264592127,Fli1
MS00054|Tcf7,0.4682815454154696,Tcf7
MC00348|STAT1,0.47397859240212403,STAT1
UP00197|HOXC9,0.4742018087203357,HOXC9
UP00034|Sox7,0.4811344172894598,Sox7
M00041|ATF2::JUN,0.4842579842230176,ATF2::JUN
M01230|ZNF333,0.4859438804489177,ZNF333
MC00471|Rxra,0.48972284288569057,Rxra
MS00474|HMX2,0.4904349011117448,HMX2
MS00446|EN1,0.49070373293415603,EN1
MS00355|FOXD2,0.4911887333226106,FOXD2
MS00572|NKX3-1,0.4918750719250633,NKX3-1
MC00511|Rxrg,0.4975716302094253,Rxrg
MS00089|Meis3,0.5028133863171531,Meis3
M00694|E4F1,0.5051489898445136,E4F1
MC00453|STAT5A,0.5073172462976032,STAT5A
MS00354|FOXC2,0.5075826700948125,FOXC2
MS00588|PDX1,0.510028411994228,PDX1
M01150|Dmrta2,0.5154482850993198,Dmrta2
M00495|BACH1,0.5171878663539903,BACH1
M00749|SREBF1,0.5188491120543871,SREBF1
UP00023|Sox30,0.5241661352922444,Sox30
MC00347|STAT4,0.5249570565125812,STAT4
UP00012|Bbx,0.5251262625026496,Bbx
UP00155|Hmx2,0.5278516245379371,Hmx2
MS00718|Tp53,0.5538492856171966,Tp53
UP00130|LHX3,0.5636900759297313,LHX3
UP00121|Hoxd10,0.5672013671690885,Hoxd10
UP00075|Sox15,0.5683465576897095,Sox15
MC00303|Sox2,0.5765471073369647,Sox2
MS00573|NKX3-2,0.5787241786779956,NKX3-2
MS00634|CUX2,0.5805164388059487,CUX2
MC00452|STAT5B,0.580898446717372,STAT5B
UP00169|LMX1B,0.5839155994803493,LMX1B
MC00321|JUN,0.5842824925986536,JUN
MS00524|Hoxd9,0.5891564505781381,Hoxd9
MA0081|SPIB,0.5897323241591179,SPIB
MS00059|HSF2,0.5918226414558193,HSF2
MS00085|MEIS3,0.5929208354245021,MEIS3
UP00144|Hoxb4,0.5940022783455542,Hoxb4
M01295|ATF5,0.5944097848866253,ATF5
MS00665|NR4A2,0.6001731215337598,NR4A2
M00465|POU6F1,0.6078553807320315,POU6F1
UP00161|Hmbox1,0.6116399125501223,Hmbox1
MC00414|Atoh1,0.613601365492772,Atoh1
MS00788|SRY,0.614491642794078,SRY
MC00151|SPI1,0.6169987113119151,SPI1
MS00388|Foxc1,0.6190122033609746,Foxc1
UP00152|Arx,0.6241822767127094,Arx
MS00041|Spic,0.6290232100541424,Spic
UP00190|NKX2-3,0.6327880324501259,NKX2-3
UP00218|Dbx2,0.6338618552708539,Dbx2
MS00428|DLX2,0.6354245126673901,DLX2
MC00326|Gata3,0.6389256272579557,Gata3
MC00276|EOMES,0.6412808734275756,EOMES
MS00055|HOMEZ,0.6412837290129689,HOMEZ
UP00164|HOXA7,0.6450464339917297,HOXA7
M01312|NKX2-1,0.6460277275068937,NKX2-1
MC00513|SFPI1,0.6488733199515425,SFPI1
MC00157|Tead4,0.6501120251949973,Tead4
MS00427|DLX1,0.6507623865239416,DLX1
MS00191|TBR1,0.6511357297022511,TBR1
MS00337|NFIL3,0.6513672075809843,NFIL3
UP00260|Hoxc6,0.6603664551907358,Hoxc6
MS00820|NFIA,0.6609645659473377,NFIA
MS00051|LEF1,0.6616318754346404,LEF1
MS00372|FOXL1,0.6620327956069674,FOXL1
UP00196|HOXA4,0.6653356772740251,HOXA4
M00405|MEF2A,0.6663132678501374,MEF2A
