,0,TF
MS00062|HSFY2,0.05689395339622356,HSFY2
MS00829|ESRRA,0.057192495844450665,ESRRA
MS00266|MLX,0.057203690109301715,MLX
M01069|GZF1,0.05726535677923837,GZF1
MC00402|Hoxc9,0.0573193899780021,Hoxc9
MA0101|REL,0.0584022259386349,REL
UP00128|POU3F2,0.05905530072429881,POU3F2
MS00316|Dbp,0.05947185639874593,Dbp
MC00362|Arntl,0.060029896174911425,Arntl
UP00175|Lhx9,0.060617522460651184,Lhx9
MC00351|FOSL1,0.06135425147239716,FOSL1
MS00559|MSX1,0.061770587286049845,MSX1
MS00295|Atf4,0.061789473060035446,Atf4
MS00496|HOXC10,0.0632163940104343,HOXC10
UP00186|MEIS1,0.06339870220351813,MEIS1
M00433|Hmx3,0.06377372520393139,Hmx3
MC00126|TCF12,0.0650461051255436,TCF12
MC00224|EPAS1,0.06744257242495223,EPAS1
UP00075|Sox15,0.06942853763736634,Sox15
MS00419|BSX,0.07078568815162746,BSX
UP00152|Arx,0.07159541204608615,Arx
UP00034|Sox7,0.07215804382677324,Sox7
MC00388|Tal1,0.07282304228028044,Tal1
UP00043|Bcl6b,0.07315410565691696,Bcl6b
MS00272|NEUROG2,0.0751732900267254,NEUROG2
MS00766|SOX4,0.07544718156663058,SOX4
MS00088|Meis3,0.0774779382066428,Meis3
MS00390|ZNF238,0.0787309146078194,ZNF238
MS00603|PRRX2,0.07952479592499256,PRRX2
MS00615|Shox2,0.08098804280736192,Shox2
UP00196|HOXA4,0.08270171264354444,HOXA4
M01435|Rhox6,0.08303963685816265,Rhox6
UP00037|Zfp105,0.08359828133496162,Zfp105
MC00170|PGR,0.08402250046688298,PGR
MC00135|Rela,0.08421005123233324,Rela
MS00114|NFIB,0.0845884364929126,NFIB
MS00271|NEUROD2,0.08573696054991599,NEUROD2
MC00211|NFATC1,0.08591642867692212,NFATC1
M01112|RBPJ,0.08767506592514668,RBPJ
MS00533|LBX2,0.08931901964548959,LBX2
MS00070|IRF7,0.0893697523526322,IRF7
MS00073|IRF9,0.08975194446310455,IRF9
MS00326|MAFF,0.09013599258519432,MAFF
UP00151|BARX2,0.09019961449931037,BARX2
MS00582|OTX1,0.09035107976976958,OTX1
M00478|CDC5L,0.09095295006785488,CDC5L
UP00137|Hoxb3,0.09279085536078802,Hoxb3
M01466|Obox3,0.09714388763167307,Obox3
MC00357|Crx,0.09816773227073604,Crx
MS00668|Nr2e1,0.09854225564570755,Nr2e1
MC00514|Cbfa2t2,0.09884837724016277,Cbfa2t2
UP00248|Pax7,0.09945938577233109,Pax7
UP00019|ZBTB12,0.09966096091130411,ZBTB12
MS00739|E2F8,0.10007888320297191,E2F8
M01306|ZNF217,0.10126446934614285,ZNF217
MC00370|Npas4,0.10297457404424223,Npas4
MS00040|SPIC,0.10521927868744926,SPIC
MS00613|SHOX2,0.1054465258125391,SHOX2
MC00276|EOMES,0.10556194214283006,EOMES
MS00657|NR2F1,0.1072476430215854,NR2F1
UP00155|Hmx2,0.10842869413223813,Hmx2
MS00541|LHX9,0.10922183811452965,LHX9
MS00380|FOXO3,0.1096855589223802,FOXO3
MC00504|Scx,0.11213267437920035,Scx
MS00531|ISX,0.11590989550722972,ISX
MS00726|PRDM4,0.11764907345132712,PRDM4
UP00263|Hoxb8,0.11879117737634086,Hoxb8
MC00352|Nr5a2,0.11898408678711628,Nr5a2
MS00492|HOXB3,0.11998137466962386,HOXB3
UP00012|Bbx,0.1200139184662578,Bbx
M01596|GLI3,0.12121284276495795,GLI3
MC00281|PBX3,0.12272644441091463,PBX3
MS00351|FOXC1,0.12363056980614653,FOXC1
MS00665|NR4A2,0.12366243987877172,NR4A2
M01132|SF1,0.12440715269886166,SF1
UP00117|Hoxd11,0.12477194570667076,Hoxd11
MS00190|SCRT2,0.12583929355761736,SCRT2
MC00104|Foxa1,0.128627291922057,Foxa1
MS00315|DBP,0.12869873273968233,DBP
MA0030|FOXF2,0.12968224309693138,FOXF2
MS00052|SOX9,0.13231939718487973,SOX9
UP00195|SIX3,0.13559732786501744,SIX3
MS00491|HOXB2,0.1382088247271132,HOXB2
MS00214|TBX4,0.13829414527797526,TBX4
UP00181|BARX1,0.1384933494712331,BARX1
MS00489|HOXB13,0.13853203200229092,HOXB13
MC00157|Tead4,0.13895563213063275,Tead4
UP00252|HOXC5,0.1392308808431097,HOXC5
MS00011|BCL6B,0.13940877390451487,BCL6B
MS00398|Foxk1,0.14105451410079758,Foxk1
MS00511|HOXD13,0.1424765820362892,HOXD13
MA0130|ZNF354C,0.14642786462584073,ZNF354C
UP00193|Rhox11,0.14657167197615886,Rhox11
UP00055|HBP1,0.14833624707817597,HBP1
MS00338|NRL,0.14869313114094027,NRL
MS00072|IRF8,0.15168346866484125,IRF8
UP00014|Sox17,0.15211224600004478,Sox17
MS00327|MAFG,0.15376390644293375,MAFG
