,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77096|ZNF543,0.1975667881582659,Homo sapiens,ZNF543,tf,293T,None,None,1,ZNF543
38655|HOXC6,0.19822783208909417,Homo sapiens,HOXC6,tf,LoVo,None,Colon,0,HOXC6
65199|ZNF30,0.1982484751807228,Homo sapiens,ZNF30,,HEK293,Epithelium,Embryonic Kidney,0,ZNF30
69557|ASH1L,0.19845268188856613,Homo sapiens,ASH1L,cr,MV4-11,Leukemia Cell,None,1,ASH1L
38750|ZNF407,0.19852175897805557,Homo sapiens,ZNF407,tf,LoVo,None,Colon,1,ZNF407
75838|MYOG,0.20002986365480985,Homo sapiens,MYOG,tf,Rh4,rhabdomyosarcoma,None,1,MYOG
77032|ZNF793,0.20210988469825164,Homo sapiens,ZNF793,other,293T,None,None,1,ZNF793
38782|AEBP2,0.20388560078463558,Homo sapiens,AEBP2,tf,LoVo,None,Colon,1,AEBP2
73953|ZNF354A,0.2045477408999487,Homo sapiens,ZNF354A,,293T,None,None,1,ZNF354A
5365|SMAD2,0.20467419912072088,Homo sapiens,SMAD2,predicted transcription factor,H9,Embryonic Stem Cell,Embryo,1,SMAD2
77077|ZNF613,0.2054449742429822,Homo sapiens,ZNF613,tf,293T,None,None,1,ZNF613
77163|ZNF19,0.20550759751549352,Homo sapiens,ZNF19,tf,293T,None,None,1,ZNF19
72451|NCOA1,0.2057811361057763,Homo sapiens,NCOA1,cr,U2OS,None,Bone,1,NCOA1
38680|JDP2,0.20596719843212635,Homo sapiens,JDP2,tf,LoVo,None,Colon,0,JDP2
35107|DOT1L,0.2078701713452611,Homo sapiens,DOT1L,cr,NCCIT,None,Embryo,0,DOT1L
77145|ZNF285,0.2080043535990443,Homo sapiens,ZNF285,other,293T,None,None,0,ZNF285
42805|ZNF281,0.20979450709465614,Homo sapiens,ZNF281,tf,LoVo,None,Colon,0,ZNF281
62572|DROSHA,0.210122244328739,Homo sapiens,DROSHA,,K562,Erythroblast,Bone Marrow,1,DROSHA
49482|ZNF92,0.2101853004650091,Homo sapiens,ZNF92,tf,None,Retinal pigment cell,None,1,ZNF92
67600|KLF6,0.2104740295248932,Homo sapiens,KLF6,tf,CFPAC-1,original PDAC cell line,Pancreatic ductal,1,KLF6
73964|ZNF264,0.21056161302125254,Homo sapiens,ZNF264,,293T,None,None,0,ZNF264
