,0,TF
MC00280|NR4A1,5.772448950453643e-05,NR4A1
UP00418|Etv6,5.971020750655336e-05,Etv6
MC00129|Fli1,6.502892155622254e-05,Fli1
MS00468|ZNF75A,6.775311935449142e-05,ZNF75A
MS00105|MYBL2,7.543547574989878e-05,MYBL2
UP00019|ZBTB12,7.551997709494454e-05,ZBTB12
M00964|NR1I2,7.754379684296677e-05,NR1I2
MC00467|RXRA,7.812046689062344e-05,RXRA
MA0161|NFIC,7.906563464910135e-05,NFIC
MS00062|HSFY2,8.156532354971288e-05,HSFY2
MS00162|RFX2,8.197078965095364e-05,RFX2
MS00392|Foxg1,8.199578444611343e-05,Foxg1
UP00040|Irf5,8.886592124292569e-05,Irf5
MS00261|ID4,8.910524491371559e-05,ID4
MC00248|USF1,9.180784024551043e-05,USF1
MS00217|TBX5,9.217049851410911e-05,TBX5
M01709|MAFA,9.671371898792888e-05,MAFA
MC00312|RUNX1,9.931144234889736e-05,RUNX1
MC00186|Nr1d2,0.00010668463139587503,Nr1d2
MC00385|Ets1,0.0001093752404575604,Ets1
MS00100|MYBL1,0.00011788214583205508,MYBL1
MC00414|Atoh1,0.00011995015490212322,Atoh1
MC00180|Sfpi1,0.00011997455629827333,Sfpi1
MC00506|Spi1,0.00011997455629827333,Spi1
MC00465|NR3C1,0.00012202100800064881,NR3C1
M01268|NR1H4,0.0001222078770432818,NR1H4
MS00085|MEIS3,0.00012891458566413743,MEIS3
MC00223|SMAD2/3,0.000133962846173905,SMAD2/3
MC00513|SFPI1,0.00013964529417471327,SFPI1
MS00566|NKX2-3,0.0001410452596614351,NKX2-3
MC00122|Cebpa,0.00014329473824950385,Cebpa
MC00349|Jun,0.0001464986328526611,Jun
MC00370|Npas4,0.00014687573338491248,Npas4
M01282|PPARA,0.00015326985862064896,PPARA
MC00386|BCL6,0.00016123276740883654,BCL6
M00220|SREBF1,0.00016833001645182014,SREBF1
M00433|Hmx3,0.00017930913388924542,Hmx3
MS00336|NFE2,0.0001892321514214502,NFE2
MC00357|Crx,0.0002000081480982303,Crx
MC00524|Nr1d1,0.0002162689346521077,Nr1d1
MS00289|TFEB,0.00024258450975118227,TFEB
MC00337|Ikzf3,0.0002552918245809664,Ikzf3
MS00692|RXRB,0.0002711760220641031,RXRB
MS00060|HSF4,0.00027766972711597325,HSF4
MC00169|Usf2,0.000278991854677715,Usf2
MC00195|Myf5,0.0003219409972670161,Myf5
MS00089|Meis3,0.0003272701722283709,Meis3
MC00339|NFE2L2,0.0003347317948835656,NFE2L2
MS00092|PKNOX2,0.0003721447462226919,PKNOX2
MS00022|Elf5,0.0003866173986368714,Elf5
UP00184|Lhx8,0.00038749404930140004,Lhx8
MC00329|Srf,0.0004050036530696873,Srf
UP00011|IRF6,0.00040629977212429077,IRF6
MC00191|Nfya,0.00042658967007879416,Nfya
MC00134|Ppara,0.000439208431399323,Ppara
MS00039|SPIB,0.0004446022688313114,SPIB
