,0,TF
MS00169|RFX5,0.020122956433144833,RFX5
MS00282|Srebf1,0.020149251388608645,Srebf1
MA0155|INSM1,0.020150189570619977,INSM1
MC00354|Neurod1,0.02067395970155222,Neurod1
MS00493|HOXB5,0.020693968759911325,HOXB5
UP00096|SOX13,0.020935996141180496,SOX13
MA0103|ZEB1,0.020950314771597308,ZEB1
MS00057|HIC2,0.021489151546258495,HIC2
MS00533|LBX2,0.021990236241965867,LBX2
UP00044|Mafk,0.022024042030552044,Mafk
MC00187|Ctcf,0.022233264390996356,Ctcf
M01466|Obox3,0.022246818293900038,Obox3
MC00465|NR3C1,0.022625472094609567,NR3C1
MC00265|Tcf3,0.02265502806662455,Tcf3
MC00507|Meis1,0.02342378041981136,Meis1
MS00349|FOXC1,0.023618305544445082,FOXC1
M01112|RBPJ,0.023888438020202518,RBPJ
MS00444|EMX2,0.023929216798983004,EMX2
UP00105|POU3F4,0.02407278601260652,POU3F4
MS00114|NFIB,0.02438905125912302,NFIB
MC00520|MEIS1,0.02458692572918268,MEIS1
MS00473|HMX1,0.024722643015679707,HMX1
MS00491|HOXB2,0.02478592857977227,HOXB2
MS00183|GMEB2,0.024851753903005952,GMEB2
MS00532|Irx3,0.025051710970785276,Irx3
MS00516|Hoxa2,0.025069377430060498,Hoxa2
MC00130|Pparg,0.02520317142904491,Pparg
MC00467|RXRA,0.025531490737128987,RXRA
M00467|ZNF423,0.026266504641490936,ZNF423
UP00418|Etv6,0.02653031038750807,Etv6
M01734|NFATC4,0.027009732670237267,NFATC4
MC00309|TCF7L2,0.027770420513583693,TCF7L2
MS00287|TFAP4,0.028213475464999714,TFAP4
MA0101|REL,0.02845921654324649,REL
MS00370|FOXJ3,0.028520676437223492,FOXJ3
MC00303|Sox2,0.028530006728992387,Sox2
MS00669|Nr2f6,0.028590768276706775,Nr2f6
MS00510|HOXD13,0.029045836507317024,HOXD13
MS00422|Barhl1,0.029379518076593683,Barhl1
MC00195|Myf5,0.0293903290231285,Myf5
MC00232|MEF2A,0.03047603467473122,MEF2A
MC00395|Sfpi1,0.030610607804867653,Sfpi1
MC00506|Spi1,0.030610607804867653,Spi1
M00500|STAT6,0.0309639086342372,STAT6
MS00641|Esrra,0.031062417154483313,Esrra
MS00548|Lhx8,0.03128362849318618,Lhx8
MC00311|FOXA1,0.03142538852378774,FOXA1
MS00513|HOXD8,0.031904300972166025,HOXD8
UP00139|Nkx1-2,0.03203352822237032,Nkx1-2
MC00367|GABPA,0.0321158737068054,GABPA
MS00694|RXRG,0.032413087937367815,RXRG
MS00269|MYF6,0.03341252499214302,MYF6
MS00406|Alx1,0.0335417636594002,Alx1
MS00054|Tcf7,0.034340774885608105,Tcf7
MS00148|POU4F1,0.03484563734184285,POU4F1
MC00357|Crx,0.03583389399716634,Crx
MC00370|Npas4,0.035834280907065995,Npas4
MC00191|Nfya,0.03586984558613318,Nfya
MS00383|FOXO4,0.035915250833356574,FOXO4
MS00851|ETS1,0.03619878552222213,ETS1
MA0163|PLAG1,0.03642101615389858,PLAG1
MC00111|Bcl6,0.03651315141599768,Bcl6
MC00217|FOXA2,0.03658134017145286,FOXA2
MC00223|SMAD2/3,0.03698886758300957,SMAD2/3
MC00135|Rela,0.03709446310382928,Rela
MS00053|TCF7L1,0.037262146900412234,TCF7L1
UP00197|HOXC9,0.037370737769266735,HOXC9
MS00692|RXRB,0.03764917137719668,RXRB
M01650|NR2E3,0.038248517804521154,NR2E3
M01399|Hlx,0.03832352309216853,Hlx
MS00390|ZNF238,0.03858445304500761,ZNF238
MC00326|Gata3,0.03864750968859916,Gata3
M01069|GZF1,0.03865653467933531,GZF1
UP00128|POU3F2,0.038709817919760664,POU3F2
MS00201|SNAI2,0.03916328549832221,SNAI2
MC00325|Gata2,0.039426396779307135,Gata2
MS00294|ATF7,0.03953612794049556,ATF7
MC00456|JUND,0.04000496391129279,JUND
MS00423|ZNF524,0.0402578040719417,ZNF524
MC00136|Hoxb4,0.04080163365925044,Hoxb4
MS00807|MSC,0.04123442653313025,MSC
MS00388|Foxc1,0.04139388319376467,Foxc1
UP00038|Spdef,0.041411822155229296,Spdef
MS00216|TBX5,0.04161608020124026,TBX5
MS00465|GSX1,0.04176331546186828,GSX1
MC00378|POU5F1,0.042719861250856826,POU5F1
M01262|TBX18,0.0428909469929172,TBX18
MS00543|LMX1A,0.0431379955625723,LMX1A
MC00372|Yy1,0.043153178920984234,Yy1
MS00599|PRRX1,0.043347359133396726,PRRX1
MS00474|HMX2,0.04404117120791151,HMX2
MS00191|TBR1,0.044561585701421595,TBR1
