,0,TF
MC00396|Nr3c1,0.004125269075821748,Nr3c1
MS00463|GSC2,0.004393985266508905,GSC2
MS00474|HMX2,0.004471085215146766,HMX2
UP00248|Pax7,0.004751475885901279,Pax7
UP00069|Sox1,0.005040547116850621,Sox1
MS00266|MLX,0.00523218706463701,MLX
UP00215|Vax1,0.00537418547850395,Vax1
UP00195|SIX3,0.005483928173106264,SIX3
MS00468|ZNF75A,0.006057817846446468,ZNF75A
MS00386|FOXO6,0.006083380018503048,FOXO6
M00433|Hmx3,0.006146764690142186,Hmx3
UP00243|Isx,0.006210097435328012,Isx
MC00344|Hnf4a,0.006377087844814763,Hnf4a
M01132|SF1,0.006516314915944397,SF1
M00706|GTF2I,0.006580334952176154,GTF2I
MS00626|VSX1,0.006770327053418702,VSX1
UP00019|ZBTB12,0.006858479802581169,ZBTB12
UP00048|RARA,0.007161565242273207,RARA
MC00355|SRF,0.007508243996350797,SRF
UP00128|POU3F2,0.007931937864689037,POU3F2
M01480|Obox5,0.008018074259394273,Obox5
MS00536|LHX2,0.008300474647922345,LHX2
M00155|NR2F2,0.008388068519116927,NR2F2
UP00051|Sox8,0.008552957352059574,Sox8
MS00512|Zfp740,0.0086003244754265,Zfp740
MS00582|OTX1,0.0086996710038757,OTX1
MS00361|FOXG1,0.008723519150875868,FOXG1
UP00091|SOX5,0.008760974505583777,SOX5
UP00155|Hmx2,0.008847193476722618,Hmx2
UP00213|HOXA9,0.009325958224701697,HOXA9
MS00126|PAX7,0.009801880878398632,PAX7
MC00458|TAL1,0.011013465398053396,TAL1
UP00189|HOXA5,0.01112317579867747,HOXA5
UP00261|LHX4,0.011467346905380484,LHX4
M00420|MEIS1::HOXA9,0.011720827265835919,MEIS1::HOXA9
MS00586|Otx1,0.011729411664526502,Otx1
MS00253|CLOCK,0.012273964777517361,CLOCK
UP00140|Hoxd1,0.013183892351578104,Hoxd1
MC00231|MEF2C,0.013520771969752349,MEF2C
MS00551|MEOX1,0.013755771493524511,MEOX1
MS00679|ONECUT2,0.01377877265131693,ONECUT2
MS00479|ZNF784,0.01413418751948299,ZNF784
MS00662|NR3C2,0.014258956012959243,NR3C2
M00416|ALX1,0.014387026540651512,ALX1
MS00436|DPRX,0.014390869236847237,DPRX
MS00597|PROP1,0.014975196714101921,PROP1
MS00487|HOXA2,0.015120672952466668,HOXA2
MS00740|SOX10,0.01518153084475824,SOX10
MS00730|ZNF435,0.015479847997045262,ZNF435
UP00238|Nkx6-3,0.01569084380970271,Nkx6-3
MS00517|Hoxc10,0.016710101962046166,Hoxc10
MS00496|HOXC10,0.016821568234090225,HOXC10
MS00402|ALX3,0.017057817513340325,ALX3
MS00472|HMBOX1,0.017293025309251822,HMBOX1
M01435|Rhox6,0.017778621132913914,Rhox6
MC00169|Usf2,0.018348208947710404,Usf2
MS00709|THRA,0.019304433622791373,THRA
M01364|Obox2,0.01967083561320803,Obox2
MS00685|RORA,0.020156394835332457,RORA
MS00473|HMX1,0.02098007423437186,HMX1
MS00563|Meox2,0.02112938007352786,Meox2
M00159|CEBPA,0.021896117623798075,CEBPA
MC00303|Sox2,0.0241683871000973,Sox2
MC00232|MEF2A,0.024209870988020556,MEF2A
UP00120|Lbx2,0.025568480457618104,Lbx2
MS00443|EMX2,0.025674422243659668,EMX2
MS00454|EVX1,0.02595990417538,EVX1
MC00276|EOMES,0.02817077698207741,EOMES
UP00041|Foxj1,0.03027386980126405,Foxj1
MS00041|Spic,0.030399426841129947,Spic
MS00553|MEOX2,0.03191350277152083,MEOX2
UP00401|SOX4,0.03214357163487992,SOX4
MS00394|Foxj3,0.0333434032451366,Foxj3
MS00455|EVX2,0.03400158102661137,EVX2
MS00052|SOX9,0.034331600107915985,SOX9
MS00829|ESRRA,0.03544895532487332,ESRRA
UP00254|POU2F1,0.03569418137622983,POU2F1
MS00547|Lhx4,0.035822513638212726,Lhx4
UP00170|Isl2,0.03746256006007183,Isl2
MS00129|POU1F1,0.03828471236239284,POU1F1
UP00152|Arx,0.03900943940614324,Arx
MS00513|HOXD8,0.039118690571775645,HOXD8
MS00755|SOX21,0.03924861720000153,SOX21
MS00486|HOXA1,0.03976621090777637,HOXA1
MS00134|POU2F2,0.04104032542089503,POU2F2
UP00064|Sox18,0.04163869299824158,Sox18
MS00405|ARX,0.04541321298110834,ARX
MS00407|Alx1,0.046033395369766875,Alx1
UP00125|PITX2,0.04730734679575156,PITX2
MC00154|Jund,0.05039305183517801,Jund
M01148|DMRT3,0.05089869956485592,DMRT3
UP00391|HOXA3,0.05090879706211205,HOXA3
UP00252|HOXC5,0.05220702012415778,HOXC5
MS00578|NOTO,0.05455808771082466,NOTO
MC00135|Rela,0.05460278619835308,Rela
MC00280|NR4A1,0.05460457426935131,NR4A1
MS00543|LMX1A,0.05520278710291724,LMX1A
MC00193|RELA,0.05623759712294644,RELA
MS00542|LHX9,0.0563124447288365,LHX9
M00220|SREBF1,0.057453608055157424,SREBF1
MS00282|Srebf1,0.06094289481409498,Srebf1
MS00106|NFAT5,0.06120702105111717,NFAT5
MS00452|ESX1,0.06208761763562792,ESX1
M01312|NKX2-1,0.06758998647168611,NKX2-1
M00983|MAF,0.06821326499701708,MAF
MC00250|Nkx3-1,0.06832050593939976,Nkx3-1
MS00531|ISX,0.0709259818120446,ISX
UP00166|BARHL1,0.07302104451181868,BARHL1
MS00504|HOXC13,0.07389549181169691,HOXC13
M00987|FOXP1,0.0743928157738588,FOXP1
MS00053|TCF7L1,0.0745037023484757,TCF7L1
M00478|CDC5L,0.07461139294309085,CDC5L
MC00272|CEBPB,0.07604187801334689,CEBPB
M01450|Obox1,0.07664520565734943,Obox1
MS00449|EN1,0.07670966153841156,EN1
MS00489|HOXB13,0.07865559363633313,HOXB13
MS00484|HOXA13,0.08351941800052338,HOXA13
UP00182|HOXA6,0.08399965370493985,HOXA6
M01150|Dmrta2,0.08455021703345053,Dmrta2
MS00618|Uncx,0.08458138950257856,Uncx
MS00376|FOXO1,0.08504117754682121,FOXO1
MS00432|DLX6,0.08689535194758459,DLX6
MS00179|SCRT1,0.08939667705257079,SCRT1
UP00169|LMX1B,0.08978781415367477,LMX1B
MS00519|Hoxd13,0.08986477932481672,Hoxd13
UP00197|HOXC9,0.09121011582973448,HOXC9
MS00218|T,0.09198931582006788,T
MC00211|NFATC1,0.09337656462505911,NFATC1
MS00624|VENTX,0.09342532004295159,VENTX
M01466|Obox3,0.09381124437127884,Obox3
M01483|Dbx1,0.09508712298275852,Dbx1
UP00192|SIX1,0.09582828940696816,SIX1
MS00516|Hoxa2,0.09674654975362369,Hoxa2
