,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
38821|HIVEP1,0.3765628620866498,Homo sapiens,HIVEP1,tf,LoVo,None,Colon,0,HIVEP1
77064|ZNF675,0.3772323822397963,Homo sapiens,ZNF675,tf,293T,None,None,1,ZNF675
77239|ZSCAN5B,0.3774233381368741,Homo sapiens,ZSCAN5B,tf,HEK293,HEK 293 Cell Line,None,0,ZSCAN5B
77532|H2AK119ub,0.3775668089623369,Homo sapiens,H2AK119ub,,U2OS,osteosarcoma,None,1,H2AK119ub
36822|GREB1,0.3779420491716165,Homo sapiens,GREB1,not sure,MCF-7,Epithelium,Breast,1,GREB1
77077|ZNF613,0.3812600300970349,Homo sapiens,ZNF613,tf,293T,None,None,1,ZNF613
42724|HOXD11,0.38308981070018455,Homo sapiens,HOXD11,tf,LoVo,None,Colon,0,HOXD11
69234|CENPT,0.3839662178032904,Homo sapiens,CENPT,other,HuRef,Lymphoblastoid,None,1,CENPT
62681|ZNF16,0.39369256777215705,Homo sapiens,ZNF16,,HEK293,Epithelium,Embryonic Kidney,1,ZNF16
77266|ZSCAN2,0.3950380953753659,Homo sapiens,ZSCAN2,tf,HepG2,Epithelium,Liver,1,ZSCAN2
73974|ZNF136,0.3961515081797081,Homo sapiens,ZNF136,,293T,None,None,1,ZNF136
77137|ZNF333,0.3969281656638502,Homo sapiens,ZNF333,tf,293T,None,None,1,ZNF333
76278|CALU,0.3982910196970205,Homo sapiens,CALU,other,Calu-3,None,Lung,1,CALU
64129|ILK,0.3990004057387539,Homo sapiens,ILK,,K562,Erythroblast,Bone Marrow,1,ILK
42742|PPARA,0.3990920600031254,Homo sapiens,PPARA,tf,LoVo,None,Colon,0,PPARA
38854|DLX2,0.4012897093060312,Homo sapiens,DLX2,tf,LoVo,None,Colon,1,DLX2
52055|HJURP,0.40268319062082936,Homo sapiens,HJURP,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,HJURP
42880|ZBTB4,0.40507138373681184,Homo sapiens,ZBTB4,tf,LoVo,None,Colon,0,ZBTB4
42688|LHX4,0.4061353651839804,Homo sapiens,LHX4,tf,LoVo,None,Colon,1,LHX4
38822|HOXA7,0.4143393997280181,Homo sapiens,HOXA7,tf,LoVo,None,Colon,0,HOXA7
55217|MAP2K1,0.4157431362832008,Homo sapiens,MAP2K1,not sure,HeLa,Epithelium,Cervix,1,MAP2K1
65103|ZNF419,0.4161644668917273,Homo sapiens,ZNF419,,HEK293,Epithelium,Embryonic Kidney,1,ZNF419
63678|ZNF423,0.4162442189972991,Homo sapiens,ZNF423,,HEK293,Epithelium,Embryonic Kidney,1,ZNF423
65161|ZNF774,0.4183936019558979,Homo sapiens,ZNF774,,HEK293,Epithelium,Embryonic Kidney,0,ZNF774
42763|HOXB6,0.424482964162528,Homo sapiens,HOXB6,tf,LoVo,None,Colon,1,HOXB6
65101|GTF3A,0.43067953228797656,Homo sapiens,GTF3A,,HEK293,Epithelium,Embryonic Kidney,0,GTF3A
