,0,TF
MS00280|OLIG3,0.371201086027789,OLIG3
MS00472|HMBOX1,0.37804444392705744,HMBOX1
UP00107|Nkx2-4,0.3941283446026744,Nkx2-4
MC00513|SFPI1,0.4141043692297136,SFPI1
MS00700|Rarb,0.4162385594009391,Rarb
UP00243|Isx,0.4176612801951509,Isx
M01445|Obox6,0.4215852400313941,Obox6
M01450|Obox1,0.43339137499527813,Obox1
M00750|HMGA1,0.4345846187713458,HMGA1
MS00336|NFE2,0.43699898318681074,NFE2
MS00476|HNF1A,0.4434332576382194,HNF1A
MS00055|HOMEZ,0.47307901040133693,HOMEZ
UP00137|Hoxb3,0.4760166128686617,Hoxb3
UP00166|BARHL1,0.48339923992337663,BARHL1
UP00114|Homez,0.49804544174387355,Homez
MS00485|HOXA13,0.5027779756202214,HOXA13
MS00277|OLIG2,0.5041342010838514,OLIG2
UP00023|Sox30,0.5249064093036733,Sox30
MS00087|Meis2,0.5290221427019914,Meis2
MC00524|Nr1d1,0.5357838489811393,Nr1d1
M00454|ARID5B,0.5430456638966363,ARID5B
MC00157|Tead4,0.5527455152667591,Tead4
UP00044|Mafk,0.5628636973207195,Mafk
M01306|ZNF217,0.5747512738448143,ZNF217
MC00312|RUNX1,0.5839187028897016,RUNX1
M01075|ZBTB16,0.587834860718151,ZBTB16
MS00339|TEF,0.5997389833972924,TEF
M00062|IRF1,0.6026274445256328,IRF1
UP00244|TLX2,0.6062003760233932,TLX2
MS00454|EVX1,0.6134173638301819,EVX1
UP00391|HOXA3,0.6175710290830163,HOXA3
MC00154|Jund,0.6268246272384099,Jund
MS00572|NKX3-1,0.628181240571396,NKX3-1
MS00486|HOXA1,0.6330028072790505,HOXA1
MS00731|ZNF713,0.6377175710100987,ZNF713
MS00192|TBX15,0.6403797318131085,TBX15
MS00033|SPDEF,0.6419401874741759,SPDEF
MS00595|PITX1,0.6483473759712545,PITX1
UP00221|PHOX2A,0.6485931778567897,PHOX2A
UP00207|HOXB9,0.65009378803998,HOXB9
UP00140|Hoxd1,0.6565273788986976,Hoxd1
UP00215|Vax1,0.6648701823464078,Vax1
M00478|CDC5L,0.6654352726098176,CDC5L
UP00187|ALX4,0.6732833328411262,ALX4
MS00617|UNCX,0.6739633760775292,UNCX
MS00418|BARX1,0.6801017385237722,BARX1
M01295|ATF5,0.6825846921181382,ATF5
MS00318|Hlf,0.6832395711745953,Hlf
UP00249|NKX2-5,0.6952336078350307,NKX2-5
MS00465|GSX1,0.697113382563167,GSX1
MS00474|HMX2,0.7010742210410214,HMX2
MS00106|NFAT5,0.7014313741222247,NFAT5
UP00185|PBX1,0.703236817492163,PBX1
M01453|ALX1,0.7058663946043526,ALX1
M01268|NR1H4,0.706055354437912,NR1H4
UP00164|HOXA7,0.7200620546931288,HOXA7
MC00122|Cebpa,0.7212906392399476,Cebpa
UP00197|HOXC9,0.7231206708732443,HOXC9
M01326|GSX2,0.7323546918769954,GSX2
