,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
76520|BPTF,0.000000000000000000000000000000000000005821654654559545470128180445124408578781086004295902847829104337749647188177044412084427080121897374610058867835311085765481536057481744047453216874634885570402580460488633619262604454940072178465769,Homo sapiens,BPTF,tf,None,Erythroid Cell,None,1,BPTF
46307|PML,0.000000000000000000000000000000000000014595913263713234250179605833025622274090558638926336570234253151307984264496034053889626765509523589570736370905250063393554169455350077807403273732817840402109123981890208651534141541103453591833905,Homo sapiens,PML,tf,MCF-7,Epithelium,Breast,1,PML
50372|SUZ12,0.000000000000000000000000000000000000016053890317443324005248899485883460536908951329970504012386034276700915640104390022874340696403919652222489912427376461382773678769390544237236716636044206933453853578735432014877388806897902527281866,Homo sapiens,SUZ12,cr,None,Proerythroblast,Fetal Liver,1,SUZ12
45866|MXI1,0.000000000000000000000000000000000000044214314619854043792319369322964123622210264958457116547581445032575902180439672062321474750282817159395089752267364212059587067181304063326183002099907031446115593054566520343798153051378353826789464,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1,MXI1
34392|MECP2,0.000000000000000000000000000000000000072221665139727094282498923391963638755945851519634528415020642426876657986932142186179277033970303945734425865897703195668189864224863169190166786152702425185613081739055454684124211108902003356902436,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1,MECP2
46340|FOXP2,0.00000000000000000000000000000000000011161620792348512097258393735118805725907240771231605907396683406865070639121372117634622491258307780796902884727001387781998852150038342562848700487586374150091731296135597796005668658578637432053601,Homo sapiens,FOXP2,tf,SK-N-MC,None,Brain,1,FOXP2
55895|T,0.00000000000000000000000000000000000015217321167898306736215425689580260575352777693636673272147999411733128313397753788712866462400104899455494904174347355485822516808166240682729056571094762809875586170116403358233488740137120349377212,Homo sapiens,T,tf,None,Fibroblast,None,1,T
49238|ETS1,0.00000000000000000000000000000000000017269824924929699835670554035328993404045491846792596357426352232648173002006173860124525956558902777118716100486636708726555536538061967684157216545338771665716481650148321822022229937431046214085065,Homo sapiens,ETS1,tf,DU145,Epithelium,Prostate,1,ETS1
70759|OGT,0.0000000000000000000000000000000000001779594681369338975395860269782932298017363923668868293317693328893517752738768686823152805823659745079620584922163400760579773444313748907843915671113883652478180527070169286767145531276273730139948,Homo sapiens,OGT,other,HEK293,HEK 293 Cell Line,None,1,OGT
59170|SETD1A,0.00000000000000000000000000000000000018213763226273448159763925402100498032193086864978241132843961106270149886118085868993647613253521925670804655387993137221565689885674807601411527311783880200040401137601850682868578730964169222284587,Homo sapiens,SETD1A,predicted chromatin regulator,SEM,Pre-B Lymphocyte,None,1,SETD1A
3038|CREBBP,0.00000000000000000000000000000000000043016772658175094328966516507344489949935099928720982385147280633230712284465411343854119171843936128308376072527873043854243077442488646399164011420971140063488231461499215368101250455088230451003619,Homo sapiens,CREBBP,cr,None,T Lymphocyte,Blood,1,CREBBP
