,0,TF
UP00243|Isx,0.0021245106535476366,Isx
MS00320|JDP2,0.0023593552957158746,JDP2
MS00398|Foxk1,0.002416467613114402,Foxk1
MS00709|THRA,0.0026158802624944755,THRA
M00964|NR1I2,0.0027812063537880414,NR1I2
MA0365|RFX1,0.003063366433787756,RFX1
M00526|NR6A1,0.003314721545167722,NR6A1
UP00114|Homez,0.0036871876006865194,Homez
MC00356|Tbx21,0.003701644382393587,Tbx21
MS00464|GSC,0.0037088581755272227,GSC
MS00582|OTX1,0.0039670733064108635,OTX1
M00712|MYOG,0.003972772541938672,MYOG
M01108|HOXA7,0.004264603551764051,HOXA7
MS00291|Tcf21,0.0043344038434485555,Tcf21
MS00505|HOXC13,0.0044381837382619655,HOXC13
UP00207|HOXB9,0.004760893225668302,HOXB9
UP00045|MAFB,0.00486190347142516,MAFB
MS00421|Barhl1,0.005280845606287244,Barhl1
MS00527|IRX5,0.0053763666630215244,IRX5
MS00325|Jdp2,0.005517837541065759,Jdp2
MS00514|Hoxa11,0.0056405172071456846,Hoxa11
M01312|NKX2-1,0.005694818029794052,NKX2-1
MA0108|TBP,0.005697325572211857,TBP
MA0442|SOX10,0.006069148720293563,SOX10
MS00179|SCRT1,0.006118337111745988,SCRT1
MS00490|ZSCAN4,0.007640936686754641,ZSCAN4
MS00526|IRX2,0.007753495456668476,IRX2
MS00465|GSX1,0.007822503853491019,GSX1
MS00692|RXRB,0.009282204734447323,RXRB
MC00506|Spi1,0.011847270954298316,Spi1
MC00121|Cebpb,0.012771919717384195,Cebpb
MC00276|EOMES,0.013727464193344932,EOMES
M00999|AIRE,0.013796101583863721,AIRE
MC00458|TAL1,0.013930602619177187,TAL1
MS00474|HMX2,0.014648065225884906,HMX2
MS00577|NKX6-2,0.015562312181404846,NKX6-2
MS00468|ZNF75A,0.017414421658855518,ZNF75A
MS00641|Esrra,0.018104778857763352,Esrra
MS00489|HOXB13,0.01836133269748013,HOXB13
UP00389|NKX3-1,0.020493519356572155,NKX3-1
MS00295|Atf4,0.021432764646934582,Atf4
M00478|CDC5L,0.022036644913423553,CDC5L
UP00401|SOX4,0.02233109686066421,SOX4
M01435|Rhox6,0.022359034518224935,Rhox6
