,0,TF
MS00503|HOXC12,0.3489473528373387,HOXC12
MS00336|NFE2,0.35437015825285334,NFE2
MS00266|MLX,0.3610616301533186,MLX
MS00295|Atf4,0.3689333162555924,Atf4
UP00401|SOX4,0.372549330076013,SOX4
UP00043|Bcl6b,0.3757589430278794,Bcl6b
MS00744|SOX10,0.38452110585442756,SOX10
M01734|NFATC4,0.3875325866444201,NFATC4
MS00083|MEIS2,0.3964386352130817,MEIS2
UP00262|Lhx1,0.39703293613198043,Lhx1
MS00468|ZNF75A,0.39938597243625373,ZNF75A
MS00436|DPRX,0.4000067434373832,DPRX
MA0031|FOXD1,0.4024163703355876,FOXD1
UP00019|ZBTB12,0.40338957518031154,ZBTB12
MA0152|NFATC2,0.40843495566227583,NFATC2
MS00443|EMX2,0.4163399343995473,EMX2
MS00463|GSC2,0.42442890425785174,GSC2
MC00408|Myb,0.42724907835768866,Myb
UP00231|NKX2-2,0.4455076042015501,NKX2-2
MS00300|CEBPE,0.44953350021182714,CEBPE
UP00187|ALX4,0.4554898109526847,ALX4
M01694|Yy2,0.46181860699758237,Yy2
MC00501|FOXP1,0.46606006447519743,FOXP1
UP00195|SIX3,0.4701599871249832,SIX3
MS00088|Meis3,0.4711329251562423,Meis3
MS00771|SOX8,0.47767872889353546,SOX8
MS00838|ELF5,0.4849174448069924,ELF5
MS00611|Rhox11,0.5104098924068055,Rhox11
MS00270|Mlx,0.5111403438017662,Mlx
M00750|HMGA1,0.5213484983829085,HMGA1
MS00756|E2F7,0.5308153953743864,E2F7
UP00177|Hoxd12,0.5429671116047039,Hoxd12
MS00016|ETV2,0.5455255699583135,ETV2
MC00121|Cebpb,0.5481484823888563,Cebpb
UP00175|Lhx9,0.5515582072152894,Lhx9
MC00388|Tal1,0.5522496141527725,Tal1
M01081|ZNF628,0.5542684965507534,ZNF628
UP00169|LMX1B,0.5578283365568475,LMX1B
MS00485|HOXA13,0.5599534730551738,HOXA13
M01466|Obox3,0.5621586496511954,Obox3
MA0030|FOXF2,0.5639412353651856,FOXF2
MS00472|HMBOX1,0.5688041413672504,HMBOX1
UP00117|Hoxd11,0.5730408886890237,Hoxd11
MS00836|HOXD12,0.5737968445332413,HOXD12
MS00359|FOXD3,0.5741893017228187,FOXD3
MS00520|Hoxd13,0.5759632897870778,Hoxd13
M01453|ALX1,0.5814013214029641,ALX1
MS00356|FOXD2,0.5815774057346352,FOXD2
M01722|RORB,0.581900269881093,RORB
M01445|Obox6,0.5871560317588862,Obox6
MC00232|MEF2A,0.5872127643230638,MEF2A
MS00091|PKNOX1,0.6008745629387895,PKNOX1
MC00513|SFPI1,0.6021968631970444,SFPI1
MC00136|Hoxb4,0.6056632735261274,Hoxb4
MS00367|FOXJ3,0.6214637188665755,FOXJ3
MS00192|TBX15,0.6249977142654397,TBX15
M01282|PPARA,0.6256469935133178,PPARA
MC00329|Srf,0.6267007993369009,Srf
MC00205|Stat5a,0.6268873590375912,Stat5a
M01364|Obox2,0.6273501508787644,Obox2
MC00186|Nr1d2,0.6293387941435251,Nr1d2
MC00217|FOXA2,0.6379628021019059,FOXA2
M00062|IRF1,0.6384196663768047,IRF1
UP00139|Nkx1-2,0.6397576365804332,Nkx1-2
UP00113|HOXC4,0.6451010467651725,HOXC4
MS00557|MNX1,0.6477955395789317,MNX1
MC00508|Batf,0.6598577571520365,Batf
M00041|ATF2::JUN,0.6622574189839607,ATF2::JUN
MS00051|LEF1,0.6657355581532277,LEF1
MC00151|SPI1,0.6665471761314247,SPI1
MS00417|BARX1,0.6681751036800274,BARX1
M01399|Hlx,0.6725099726075705,Hlx
MS00317|HLF,0.6750050141574954,HLF
MS00168|PRDM1,0.6751904087759999,PRDM1
MS00728|ZNF232,0.6775508699889259,ZNF232
MC00416|Rbfox2,0.6776911671891963,Rbfox2
MC00453|STAT5A,0.6783510096852923,STAT5A
MS00349|FOXC1,0.678694179445724,FOXC1
MA0365|RFX1,0.6801462758892787,RFX1
UP00137|Hoxb3,0.6821027285210586,Hoxb3
MS00416|BARHL2,0.6858405868963404,BARHL2
MS00094|TGIF1,0.6874713129995227,TGIF1
MS00528|ISL2,0.6917595014838093,ISL2
M01127|ISL1,0.6927824963551843,ISL1
MS00480|HOXA10,0.6935401587034985,HOXA10
UP00152|Arx,0.6997794976087282,Arx
UP00249|NKX2-5,0.69987701014807,NKX2-5
MS00626|VSX1,0.7011381223221442,VSX1
MC00311|FOXA1,0.7067050038329042,FOXA1
MS00619|Uncx,0.7107837261435141,Uncx
MS00811|RARB,0.7118491484083374,RARB
MS00465|GSX1,0.7119166670499075,GSX1
UP00252|HOXC5,0.7119792552288502,HOXC5
MS00620|VAX1,0.7166409768416774,VAX1
