Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
KLF13,MS00124;3.77E-01,,,,
FOXP1,MC00501;3.78E-01,M00987;9.91E-01,,,
NFE2L2,MC00339;3.78E-01,,,,
HOXB6,UP00259;3.79E-01,,,,
Ovol2,M01104;3.81E-01,,,,
RELA,MC00193;3.85E-01,,,,
RXRG,MS00694;3.87E-01,,,,
GCM1,MS00048;3.87E-01,MS00047;4.48E-01,,,
FOXD1,MA0031;3.89E-01,,,,
ZBTB33,MC00418;3.90E-01,M01119;5.81E-01,,,
Nr1h2,MC00448;3.91E-01,,,,
REL,MA0101;3.93E-01,,,,
HOXC9,UP00197;3.95E-01,,,,
POU4F1,MS00148;3.97E-01,,,,
ZNF238,MS00390;3.98E-01,,,,
MEIS2,MS00083;3.98E-01,,,,
TFE3,MS00288;4.00E-01,,,,
Hnf4a,MC00344;4.00E-01,,,,
FOXA2,MC00217;4.01E-01,,,,
SPI1,MC00151;4.04E-01,,,,
PAX5,MC00332;4.05E-01,M00143;5.23E-01,MA0014;7.20E-01,,
HMBOX1,MS00472;4.05E-01,,,,
MAFB,UP00045;4.08E-01,,,,
Nobox,MA0125;4.10E-01,,,,
Nr1d1,MC00524;4.10E-01,,,,
Isx,UP00243;4.10E-01,,,,
Pdx1,MC00165;4.12E-01,,,,
PGR,MC00170;4.12E-01,,,,
ATF5,M01295;4.13E-01,,,,
VENTX,MS00624;4.14E-01,,,,
HES1,M01009;4.15E-01,,,,
ETV3,MC00160;4.15E-01,,,,
Glis2,UP00024;4.16E-01,,,,
TGIF1,MS00094;4.16E-01,,,,
En2,MS00458;4.20E-01,,,,
BARX2,UP00151;4.20E-01,,,,
GMEB2,MS00721;4.20E-01,MS00182;8.33E-01,MS00183;8.59E-01,,
PITX3,MS00596;4.20E-01,,,,
E2F1::TFDP1,M00736;4.20E-01,,,,
Hoxc10,MS00517;4.25E-01,MS00518;5.42E-01,,,
SNAI2,MS00201;4.26E-01,,,,
Hoxd3,MS00521;4.26E-01,,,,
E4F1,M00694;4.26E-01,,,,
MEF2D,MS00076;4.27E-01,,,,
NR2C2,MS00651;4.27E-01,MC00509;5.33E-01,,,
TBP,MA0108;4.28E-01,MA0386;9.14E-01,,,
POU4F2,MS00149;4.29E-01,,,,
SOX2,MS00762;4.31E-01,MC00269;8.29E-01,,,
Rest,MC00125;4.32E-01,,,,
Pax5,MC00257;4.38E-01,,,,
Gsc,UP00112;4.38E-01,,,,
POU3F1,MS00138;4.39E-01,MS00139;8.70E-01,M00133;8.73E-01,,
ETV1,MC00427;4.41E-01,,,,
Dlx2,MS00440;4.41E-01,,,,
PDX1,MS00589;4.42E-01,MS00588;9.16E-01,,,
HES7,MS00256;4.42E-01,,,,
OLIG2,MS00277;4.44E-01,,,,
GTF2IRD1,M01229;4.46E-01,M01241;7.77E-01,,,
Nr2f2,UP00009;4.48E-01,,,,
Nr3c1,MC00396;4.48E-01,,,,
TP73,MC00132;4.49E-01,,,,
E2F1,MC00182;4.51E-01,MS00815;6.81E-01,,,
Nkx3-1,MC00250;4.52E-01,MS00580;5.84E-01,,,
POU3F4,UP00105;4.54E-01,MS00147;6.66E-01,MS00145;7.89E-01,,
HOXC8,UP00242;4.55E-01,,,,
NKX2-3,MS00566;4.56E-01,UP00190;7.11E-01,,,
Tcf7,MS00054;4.56E-01,,,,
BARX1,UP00181;4.59E-01,MS00417;9.47E-01,MS00418;9.89E-01,,
ZNF784,MS00479;4.61E-01,,,,
LBX2,MS00533;4.64E-01,MS00535;7.78E-01,,,
Hoxa2,MS00516;4.64E-01,,,,
BRCA1,MC00299;4.65E-01,,,,
HOXA4,M00640;4.67E-01,UP00196;6.36E-01,,,
Tcfap2c,UP00087;4.68E-01,,,,
Hoxc6,UP00260;4.68E-01,,,,
IRF9,MS00073;4.71E-01,,,,
SOX9,MS00785;4.72E-01,MS00780;5.20E-01,MS00052;8.49E-01,,
ARNT,MC00262;4.75E-01,,,,
ZNF306,MS00401;4.75E-01,,,,
FOXO4,MS00381;4.79E-01,MS00383;4.95E-01,,,
POU3F2,MS00141;4.79E-01,UP00128;8.70E-01,MS00140;9.18E-01,,
E2F8,MS00739;4.81E-01,,,,
OLIG1,MS00276;4.83E-01,,,,
YY1,MC00342;4.83E-01,,,,
Spdef,UP00038;4.86E-01,,,,
Zfx,MC00328;4.87E-01,,,,
PAX8,M00717;4.87E-01,,,,
FOXH1,M00809;4.87E-01,MC00304;7.59E-01,,,
TBX21,MS00208;4.92E-01,MS00207;5.72E-01,,,
FOXD3,MS00359;4.94E-01,MS00358;5.42E-01,MA0041;8.40E-01,,
EVX2,MS00455;4.94E-01,,,,
IRF8,MS00072;4.97E-01,,,,
IRF1,M00062;4.97E-01,,,,
Stat1,MC00141;4.99E-01,,,,
Tcfap2e,UP00028;5.00E-01,,,,
Spic,MS00041;5.01E-01,,,,
Pknox2,MS00093;5.01E-01,,,,
AHR,M00139;5.02E-01,,,,
GATA1,MC00120;5.03E-01,,,,
GATA6,MC00117;5.03E-01,,,,
Zfp128,UP00094;5.04E-01,,,,
Nkx2-5,MC00178;5.04E-01,,,,
POU2F1,MS00131;5.06E-01,MS00132;9.04E-01,MC00288;9.20E-01,UP00254;9.79E-01,
SIX6,UP00388;5.07E-01,,,,
CEBPD,M00621;5.09E-01,MS00299;6.52E-01,,,
ETS2,M01207;5.11E-01,,,,
Hoxd9,MS00524;5.11E-01,MS00525;7.80E-01,,,
BATF,MC00411;5.12E-01,,,,
POU2F2,MC00287;5.13E-01,MS00134;8.88E-01,,,
HSFY2,MS00061;5.18E-01,MS00062;9.49E-01,,,
ISX,MS00531;5.18E-01,,,,
FOXC2,MS00354;5.19E-01,MS00352;5.85E-01,,,
DLX1,MS00427;5.20E-01,,,,
Hoxd10,UP00121;5.22E-01,,,,
E2F2,UP00001;5.25E-01,MS00712;9.86E-01,,,
FIGLA,MS00254;5.25E-01,,,,
ERF,MS00846;5.27E-01,,,,
SPIC,MS00040;5.29E-01,,,,
Myc,MC00407;5.32E-01,,,,
NFKB2,MS00111;5.33E-01,,,,
Irx3,MS00532;5.33E-01,UP00223;8.66E-01,,,
Rbfox2,MC00416;5.36E-01,,,,
ESR1,MC00335;5.38E-01,,,,
Nkx1-2,UP00139;5.38E-01,,,,
FOXN1,M00332;5.40E-01,,,,
NANOG,M01123;5.40E-01,MC00440;5.64E-01,M01247;6.47E-01,,
CEBPB,MC00272;5.40E-01,,,,
LHX4,UP00261;5.42E-01,,,,
Tbx3,MC00221;5.43E-01,,,,
ETV6,MS00021;5.45E-01,,,,
FOXL1,MS00372;5.45E-01,MS00373;7.71E-01,,,
Tcf21,MS00291;5.47E-01,,,,
THRA,MS00709;5.47E-01,,,,
PPARG::RXRA,M00518;5.47E-01,M00515;8.97E-01,,,
STAT1,MC00348;5.48E-01,,,,
PAX2,MS00118;5.49E-01,M00486;5.91E-01,MA0067;6.35E-01,,
Esr1,MC00295;5.49E-01,,,,
RUNX3,MS00177;5.50E-01,,,,
Pou3f1,UP00129;5.54E-01,,,,
FOXI1,MS00362;5.55E-01,M00289;8.76E-01,,,
MEF2B,MS00075;5.62E-01,,,,
RFX3,MC00203;5.62E-01,,,,
ETV5,MS00019;5.63E-01,,,,
IRF4,MS00065;5.65E-01,MC00227;9.91E-01,,,
VSX2,MS00627;5.67E-01,,,,
E2F6,MC00254;5.72E-01,M01252;8.79E-01,,,
SHOX,MS00614;5.72E-01,,,,
Prrx2,MS00604;5.74E-01,,,,
GABPB1,M00341;5.75E-01,,,,
ERG,MS00848;5.76E-01,MC00168;6.64E-01,,,
SHOX2,MS00613;5.76E-01,,,,
Dmrta2,M01150;5.77E-01,,,,
POU2F3,MS00136;5.78E-01,MS00137;9.81E-01,,,
PROX1,MS00160;5.84E-01,,,,
ESR2,MC00333;5.84E-01,,,,
TBX20,MS00202;5.85E-01,,,,
FOXD2,MS00356;5.86E-01,MS00355;7.40E-01,,,
Hoxd11,UP00117;5.90E-01,,,,
Arntl,MC00362;5.91E-01,,,,
ETV2,MS00016;5.92E-01,,,,
DPRX,MS00436;5.95E-01,,,,
ELF5,MS00838;5.96E-01,,,,
TBR1,MS00191;5.97E-01,,,,
Rhox11,UP00193;5.97E-01,MS00611;8.84E-01,,,
Cebpb,MC00121;5.99E-01,,,,
HOXB5,MS00493;5.99E-01,UP00214;8.13E-01,,,
Cebpa,MC00122;5.99E-01,,,,
ALX3,MS00402;6.01E-01,MS00403;9.32E-01,,,
PAX9,MS00128;6.02E-01,,,,
CDX2,MC00389;6.04E-01,,,,
Sox2,MC00303;6.06E-01,,,,
NKX2-5,M00241;6.07E-01,UP00249;8.79E-01,,,
Pou5f1,MC00233;6.07E-01,,,,
Foxf1a,M00294;6.07E-01,,,,
SIX3,UP00195;6.08E-01,,,,
RORB,M01722;6.10E-01,,,,
NR0B1,M01248;6.11E-01,,,,
CENPB,MS00534;6.13E-01,,,,
FOXP3,MS00387;6.14E-01,M00992;6.39E-01,,,
YY2,MS00268;6.14E-01,,,,
Meis3,MS00089;6.15E-01,MS00088;6.26E-01,,,
Stat5b,MC00204;6.15E-01,,,,
HOXA5,UP00189;6.16E-01,,,,
BARHL2,UP00145;6.19E-01,MS00416;7.78E-01,MS00414;9.86E-01,,
