Gene,Protein,category_PDL_Time18,category_PDL_Time25,category_PDL_Time32,category_PDL_Time33,category_PDL_Time37,category_PDL_Time46,category_PDL_Time50,category_PDLPval_Time,category_PDLlocalFDR_Time,category_PDLPval_Category,category_PDLlocalFDR_Category,category_hTERT_Time18,category_hTERT_Time25,category_hTERT_Time32,category_hTERT_Time33,category_hTERT_Time37,category_hTERT_Time46,category_hTERT_Time50,category_hTERTPval_Time,category_hTERTlocalFDR_Time,category_hTERTPval_Category,category_hTERTlocalFDR_Category
NOL9,sp|Q5SY16|NOL9-HUMAN,0.15217,0.0536718,-0.0448265,-0.0588977,-0.115182,-0.241823,-0.298108,0.00000377359111007644,0.0000134817061704823,0.000015152372991375,0.0000340199735460113,0.110739,0.101147,0.0915559,0.0901857,0.0847049,0.0723732,0.0668924,0.598826676076424,0.843121931061849,,
NHSL1,sp|Q5SYE7-2|NHSL1-HUMAN,0.188034,-0.0306088,-0.249251,-0.280486,-0.405425,-0.686536,-0.811475,0.0000000517456635022713,0.000000291832882663269,0.000000000000214694622993928,0.00000000000247153448018353,0.154384,0.244673,0.334962,0.34786,0.399454,0.51554,0.567134,0.007553633877471,0.0844267369504971,,
SZT2,sp|Q5T011|SZT2-HUMAN,-0.391715,-0.241966,-0.0922176,-0.0708249,0.0147458,0.20728,0.292851,0.0186182744151988,0.0305533205877466,0.261605520340197,0.298212813032316,-0.111275,-0.107906,-0.104537,-0.104056,-0.102131,-0.097799,-0.0958738,0.960635598006693,0.989280863214174,,
TPRG1L,sp|Q5T0D9|TPRGL-HUMAN,0.0558583,0.0602141,0.0645699,0.0651921,0.0676811,0.0732814,0.0757704,0.896751608333035,0.916226767915669,0.357023833607166,0.395544487527536,0.0525859,0.0205729,-0.0114402,-0.0160135,-0.0343066,-0.0754663,-0.0937594,0.345501486614143,0.666770061950211,,
CC2D1B,sp|Q5T0F9|C2D1B-HUMAN,0.141478,0.136141,0.130804,0.130042,0.126992,0.120131,0.117082,0.766920766144256,0.805074725024611,0.00000114534155811449,0.00000301403952836007,-0.0376139,-0.071367,-0.10512,-0.109942,-0.129229,-0.172626,-0.191914,0.0683590742776225,0.295240760615437,,
MARCH8,sp|Q5T0T0-2|MARH8-HUMAN,0.664927,0.718977,0.773028,0.780749,0.811635,0.881128,0.912014,0.757176851670807,0.796114908695155,0.814304950100436,0.829784410511058,0.714862,0.607547,0.500233,0.484902,0.423579,,,0.724346444055863,0.904428610186855,,
C6orf132,sp|Q5T0Z8|CF132-HUMAN,,-0.0442394,-0.225487,-0.25138,,,,0.416451148505262,0.481840338839899,0.19542159762588,0.228658962713773,,-0.52381,-0.505221,-0.502566,-0.491944,-0.468044,-0.457422,0.76154300061123,0.921184311771763,,
RARS2,sp|Q5T160|SYRM-HUMAN,0.0991719,0.158502,0.217833,0.226309,0.260212,0.336494,0.370397,0.00222625373585832,0.00445395654119105,0.00000000505259526355563,0.0000000199358069855569,0.00590533,-0.0207818,-0.0474689,-0.0512814,-0.0665312,-0.100843,-0.116093,0.148407365094218,0.441582547122874,,
THEM4,sp|Q5T1C6|THEM4-HUMAN,0.0572045,0.173523,0.289841,0.306458,0.372925,0.522477,0.588944,0.0514764421841591,0.0759827554634435,0.00380902834507008,0.00597229219008522,0.662379,0.450353,0.238326,0.208037,0.0868789,-0.185727,-0.306885,0.00486888433542505,0.0642288733289763,,
RBFOX2,sp|O43251-8|RFOX2-HUMAN,-0.0677147,-0.218929,-0.370143,-0.391745,-0.478153,-0.672572,-0.75898,0.0125242826846664,0.021441962613314,0.0000270921753008235,0.0000585599972922864,0.152621,0.169497,0.186374,0.188785,0.198428,0.220127,0.22977,0.771658287406841,0.925791470908657,,
CHCHD2P9,sp|Q5T1J5|CHCH9-HUMAN,-0.213909,-0.138759,-0.0636091,-0.0528734,-0.00993064,0.0866906,0.129633,0.0834367864721926,0.117317872531273,0.447540762054715,0.484419928032226,-0.0351959,0.0165999,0.0683958,0.0757952,0.105393,0.171987,0.201585,0.35219065450101,0.673818761982145,,
DDX59,sp|Q5T1V6|DDX59-HUMAN,-0.139609,-0.229559,-0.319508,-0.332358,-0.383758,-0.499408,-0.550808,0.00891969779073206,0.0157896973177847,0.0000335749322662068,0.0000717650557317322,0.103904,0.103844,0.103783,0.103774,0.10374,0.103662,0.103627,0.998657711996313,0.999524884654077,,
ZC3H13,sp|Q5T200|ZC3HD-HUMAN,0.218006,0.0181917,-0.181622,-0.210167,-0.324346,-0.58125,-0.695429,0.0000000137202226843363,0.0000000912142562164853,0.000000000112062294376669,0.000000000622485793040523,0.206401,0.213574,0.220747,0.221772,0.225871,0.235093,0.239192,0.794460754140267,0.934077817305395,,
