,0,TF
MS00753|SOX18,0.008487895423329977,SOX18
MS00700|Rarb,0.00849544539457203,Rarb
MS00778|EHF,0.008634836844880764,EHF
MC00262|ARNT,0.00871170741812294,ARNT
MS00253|CLOCK,0.00878004519246335,CLOCK
UP00169|LMX1B,0.008936428783385873,LMX1B
MS00290|ZBED1,0.008984608145584485,ZBED1
MA0442|SOX10,0.009012064828019428,SOX10
MS00770|SOX7,0.009100205328767529,SOX7
MC00364|NFYA,0.009240029610706978,NFYA
MS00295|Atf4,0.009363771710732953,Atf4
UP00194|IRX4,0.009500353619739093,IRX4
UP00389|NKX3-1,0.00959049789589133,NKX3-1
MC00402|Hoxc9,0.009704467331067506,Hoxc9
M00454|ARID5B,0.009982085677024766,ARID5B
M01147|DMRT2,0.010031747552633745,DMRT2
UP00078|ARID3A,0.010208487881755733,ARID3A
MS00160|PROX1,0.010478508801274518,PROX1
MS00317|HLF,0.011231110346790857,HLF
MC00193|RELA,0.011585124577196012,RELA
MS00289|TFEB,0.01161181477400421,TFEB
UP00117|Hoxd11,0.011855548919188157,Hoxd11
M01734|NFATC4,0.011909522018371655,NFATC4
MS00294|ATF7,0.011987762431083146,ATF7
MS00729|ZNF282,0.012407518813681882,ZNF282
MC00162|LMO2,0.012407889056191002,LMO2
UP00040|Irf5,0.012436448384814945,Irf5
MS00586|Otx1,0.01254194886607469,Otx1
MS00692|RXRB,0.013290110387315208,RXRB
M01037|GLI1,0.01335107929467368,GLI1
MC00169|Usf2,0.013621000549514357,Usf2
UP00262|Lhx1,0.013621343658101852,Lhx1
MC00362|Arntl,0.01397103094353405,Arntl
MS00472|HMBOX1,0.014195622921697678,HMBOX1
MS00361|FOXG1,0.014781882823783262,FOXG1
MC00154|Jund,0.014975626906835602,Jund
MC00136|Hoxb4,0.01533675216244186,Hoxb4
MS00088|Meis3,0.01565649277250825,Meis3
MS00433|DMBX1,0.016000648142632943,DMBX1
UP00043|Bcl6b,0.01606823966710896,Bcl6b
UP00114|Homez,0.016124799002690614,Homez
MC00330|FOS,0.016397138957233767,FOS
MC00248|USF1,0.01645261762244483,USF1
UP00249|NKX2-5,0.016503233256864345,NKX2-5
UP00107|Nkx2-4,0.01686442196642179,Nkx2-4
MS00067|IRF5,0.01724079551159312,IRF5
M00062|IRF1,0.01745739731699393,IRF1
MS00214|TBX4,0.01812051670034446,TBX4
MC00312|RUNX1,0.01818546326114626,RUNX1
MS00354|FOXC2,0.018313284533284627,FOXC2
M01010|HMGA1,0.01839585613067734,HMGA1
MS00838|ELF5,0.01868005145866081,ELF5
M00483|ATF6,0.01917745489899307,ATF6
MA0040|Foxq1,0.019340968825648758,Foxq1
M01146|DMRT1,0.019469129760242027,DMRT1
MS00388|Foxc1,0.019794969739819496,Foxc1
MS00739|E2F8,0.019843687371556177,E2F8
MS00553|MEOX2,0.019848885163326096,MEOX2
MS00539|LHX6,0.019928741519681895,LHX6
MS00337|NFIL3,0.020092618990137187,NFIL3
MC00468|AR,0.02027721296829137,AR
MC00224|EPAS1,0.0208075465545531,EPAS1
MS00039|SPIB,0.02188771291335551,SPIB
MS00320|JDP2,0.022214333309150156,JDP2
M00526|NR6A1,0.02247552206087194,NR6A1
MS00708|Rxrb,0.02344742277326187,Rxrb
MC00233|Pou5f1,0.023527632847533026,Pou5f1
MS00800|Sox1,0.023714734366667062,Sox1
