,0,TF
MS00214|TBX4,0.002810660685868221,TBX4
M01262|TBX18,0.0028113285085187463,TBX18
UP00184|Lhx8,0.002852699331139487,Lhx8
UP00193|Rhox11,0.002920548005860218,Rhox11
MS00095|TGIF2LX,0.0029320310297464595,TGIF2LX
MS00571|NKX2-8,0.0033550641498509737,NKX2-8
UP00112|Gsc,0.0034194139897913865,Gsc
M00646|HNF1B,0.003483765458411582,HNF1B
MC00321|JUN,0.0036648431975595513,JUN
MS00177|RUNX3,0.003733188766681185,RUNX3
M00526|NR6A1,0.003862777616767448,NR6A1
M00420|MEIS1::HOXA9,0.00425907370864016,MEIS1::HOXA9
MS00053|TCF7L1,0.004721189371945145,TCF7L1
MC00280|NR4A1,0.004921080383359641,NR4A1
MC00276|EOMES,0.004932401542074243,EOMES
MS00291|Tcf21,0.004995631742899128,Tcf21
M01334|Nkx1-1,0.005399520411714732,Nkx1-1
MA0081|SPIB,0.005416038635984692,SPIB
MS00111|NFKB2,0.006008527303714369,NFKB2
MC00293|Gfi1b,0.006068001920582886,Gfi1b
MC00448|Nr1h2,0.006234712413811681,Nr1h2
MS00094|TGIF1,0.0063297800455925255,TGIF1
M01282|PPARA,0.006965091774682854,PPARA
M01268|NR1H4,0.0072335861363943595,NR1H4
MS00641|Esrra,0.007845053902826856,Esrra
MS00596|PITX3,0.008014527324657565,PITX3
MS00463|GSC2,0.008049436533833065,GSC2
MC00211|NFATC1,0.00840139785365264,NFATC1
M00082|RUNX1,0.0084566354169322,RUNX1
MS00327|MAFG,0.008488367527278667,MAFG
MS00446|EN1,0.008951914257315497,EN1
UP00114|Homez,0.009336171377061154,Homez
MC00506|Spi1,0.009507756542330978,Spi1
MS00717|Tp53,0.009686160621120564,Tp53
MS00194|TBX19,0.01014311544851882,TBX19
UP00043|Bcl6b,0.010381474870415488,Bcl6b
UP00009|Nr2f2,0.01115596682068711,Nr2f2
MS00192|TBX15,0.011399175721814273,TBX15
MC00452|STAT5B,0.011435123733804117,STAT5B
M01195|TBX22,0.01215532266428558,TBX22
MS00040|SPIC,0.012534149905899995,SPIC
MS00261|ID4,0.012591698070447134,ID4
MC00513|SFPI1,0.012793086725492502,SFPI1
MS00091|PKNOX1,0.012935397877629139,PKNOX1
MC00272|CEBPB,0.01296512571288588,CEBPB
MS00092|PKNOX2,0.013783780157160927,PKNOX2
M00749|SREBF1,0.013939256694197882,SREBF1
M01466|Obox3,0.014191600516155168,Obox3
MS00197|TBX1,0.014478303742373452,TBX1
M00155|NR2F2,0.014478444152641648,NR2F2
MS00475|HMX3,0.014581673749205343,HMX3
MC00364|NFYA,0.014740302216262309,NFYA
MC00169|Usf2,0.015083977805399364,Usf2
M01364|Obox2,0.015648965254723157,Obox2
MS00337|NFIL3,0.01625731831185362,NFIL3
UP00401|SOX4,0.016471880252650672,SOX4
MC00512|Esrrb,0.01663957664095076,Esrrb
MA0164|NR2E3,0.01711715306214539,NR2E3
MS00343|FOXB1,0.01761019494668139,FOXB1
MS00296|BATF3,0.018088597628174868,BATF3
MS00807|MSC,0.019391657577214883,MSC
MC00151|SPI1,0.01994833082554496,SPI1
MS00313|Creb5,0.021034112777291437,Creb5
M00456|BPTF,0.021073551375291887,BPTF
M00624|DBP,0.021578555177775745,DBP
MS00820|NFIA,0.022104876928954947,NFIA
MC00195|Myf5,0.022110839145856688,Myf5
M01305|TEF,0.02280201122055118,TEF
UP00092|MYB,0.025078606355879957,MYB
M00750|HMGA1,0.025426930657615372,HMGA1
MS00224|TEAD4,0.026493530870395278,TEAD4
MS00756|E2F7,0.02727618441368116,E2F7
M01306|ZNF217,0.027342648710995565,ZNF217
MC00329|Srf,0.02795663446758738,Srf
UP00018|Irf4,0.02812183093026144,Irf4
MC00232|MEF2A,0.02877610843616161,MEF2A
UP00192|SIX1,0.02924021717709262,SIX1
UP00185|PBX1,0.029613637377928936,PBX1
MC00352|Nr5a2,0.030622555873973303,Nr5a2
MS00254|FIGLA,0.03077570296508718,FIGLA
UP00231|NKX2-2,0.03274125608685397,NKX2-2
UP00080|Gata5,0.033760090515592346,Gata5
MS00271|NEUROD2,0.03414356083069817,NEUROD2
MC00369|Myod1,0.03434157283024057,Myod1
MS00295|Atf4,0.034459239837037275,Atf4
M00041|ATF2::JUN,0.03489759313928744,ATF2::JUN
MS00728|ZNF232,0.03772153253430565,ZNF232
MS00527|IRX5,0.03821133196532359,IRX5
MC00413|Runx1,0.03862290790455364,Runx1
MS00171|Rfx2,0.038678544795626976,Rfx2
MS00065|IRF4,0.03901068537373454,IRF4
MS00452|ESX1,0.03961314272245171,ESX1
UP00045|MAFB,0.04268712529829431,MAFB
UP00120|Lbx2,0.04277953564180754,Lbx2
MS00503|HOXC12,0.047231047007941195,HOXC12
MS00083|MEIS2,0.04732135898244491,MEIS2
MS00731|ZNF713,0.04990818183601184,ZNF713
MC00119|GATA3,0.04999023595883198,GATA3
MC00456|JUND,0.05178577985268746,JUND
MS00011|BCL6B,0.05190472578380128,BCL6B
MS00595|PITX1,0.05214698591391978,PITX1
MS00526|IRX2,0.05328488433430336,IRX2
MS00162|RFX2,0.05553634178347248,RFX2
MC00111|Bcl6,0.056241436238247414,Bcl6
M00495|BACH1,0.056448891599755885,BACH1
MS00060|HSF4,0.05702528424501873,HSF4
MC00511|Rxrg,0.05719289265770147,Rxrg
MC00414|Atoh1,0.06050653295729595,Atoh1
M00992|FOXP3,0.061260236552633074,FOXP3
MC00273|CEBPA,0.06217684745554357,CEBPA
UP00132|Evx2,0.06407126792917976,Evx2
MS00506|HOXD11,0.06460045594408734,HOXD11
UP00159|SIX2,0.06589644491428295,SIX2
MS00624|VENTX,0.06651683562206907,VENTX
MS00540|LHX6,0.06669057163799907,LHX6
MS00533|LBX2,0.0693586470453616,LBX2
MS00096|TGIF2,0.07036509279385901,TGIF2
M00483|ATF6,0.07109973097372743,ATF6
M00133|POU3F1,0.07157573810874533,POU3F1
MC00117|GATA6,0.07202858137832577,GATA6
MC00204|Stat5b,0.0729444317943406,Stat5b
M00454|ARID5B,0.07315377279916761,ARID5B
M00964|NR1I2,0.07378227344292486,NR1I2
UP00186|MEIS1,0.07489858514816365,MEIS1
MC00453|STAT5A,0.07917521956948839,STAT5A
MS00201|SNAI2,0.07928286945759155,SNAI2
MS00829|ESRRA,0.08019998413470689,ESRRA
MS00525|Hoxd9,0.08070736727487089,Hoxd9
MS00070|IRF7,0.08519959528863204,IRF7
MS00041|Spic,0.086586947849319,Spic
MS00709|THRA,0.09013532144252859,THRA
MS00168|PRDM1,0.09109071964187437,PRDM1
M01123|NANOG,0.09179491907849859,NANOG
M01709|MAFA,0.09213024222298406,MAFA
MC00162|LMO2,0.09284581938575041,LMO2
MS00054|Tcf7,0.09316961887036786,Tcf7
MS00514|Hoxa11,0.0983698164386758,Hoxa11
UP00243|Isx,0.09862529029828032,Isx
M01479|POU6F1,0.10227067839583603,POU6F1
M01445|Obox6,0.1024475345986707,Obox6
MS00490|ZSCAN4,0.10504684192948177,ZSCAN4
UP00117|Hoxd11,0.10526586485885316,Hoxd11
MS00436|DPRX,0.10623010619445569,DPRX
UP00044|Mafk,0.10802823694615331,Mafk
MC00186|Nr1d2,0.10898814775814392,Nr1d2
UP00107|Nkx2-4,0.11367614965361468,Nkx2-4
MC00248|USF1,0.11925932552625569,USF1
MS00412|ZNF410,0.13527959862143135,ZNF410
MS00586|Otx1,0.1420486840155571,Otx1
M01435|Rhox6,0.14254765190921106,Rhox6
M00632|GATA4,0.1442435238000845,GATA4
MS00665|NR4A2,0.14585344842391892,NR4A2
M01722|RORB,0.14588805683115746,RORB
M01295|ATF5,0.14840477088441648,ATF5
MS00585|OTX2,0.1494398242699472,OTX2
MS00487|HOXA2,0.15121712840633797,HOXA2
MA0152|NFATC2,0.15201055592263477,NFATC2
M01132|SF1,0.15246247947101468,SF1
MS00582|OTX1,0.15818029219678234,OTX1
MS00486|HOXA1,0.16402778418836736,HOXA1
MS00414|BARHL2,0.16751838012167994,BARHL2
MS00744|SOX10,0.16845935540094334,SOX10
MC00508|Batf,0.170190899488711,Batf
MS00045|GATA5,0.17216846500767088,GATA5
