,0,TF
UP00241|HOXD3,0.13552906085206118,HOXD3
MS00593|PHOX2B,0.13612464999828075,PHOX2B
UP00423|Gm5454,0.1383576132849708,Gm5454
MS00244|Atoh1,0.13985862667733867,Atoh1
MC00370|Npas4,0.14007807724576496,Npas4
UP00082|Zfp187,0.14186776568759074,Zfp187
MS00620|VAX1,0.14211582614373242,VAX1
MC00474|BCL11A,0.14354421827867034,BCL11A
MC00124|MAX,0.14369854582752423,MAX
MS00591|PHOX2A,0.14399634704342593,PHOX2A
UP00019|ZBTB12,0.14440321737186645,ZBTB12
UP00081|Mybl1,0.14530721862939183,Mybl1
