,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
36238|TTF2,0.6356287559248188,Homo sapiens,TTF2,tf,HeLa,Epithelium,Cervix,0
44421|SMARCC1,0.6356287559248188,Homo sapiens,SMARCC1,cr,MCF-7,Epithelium,Breast,0
49245|SCML2,0.6356287559248188,Homo sapiens,SCML2,tf,293T-Rex,None,None,0
42855|MYBL1,0.6356287559248188,Homo sapiens,MYBL1,tf,LoVo,None,Colon,0
5513|LANA,0.6356287559248188,Homo sapiens,LANA,other,BCBL1,B cell lymphoma,None,0
68663|TET2,0.6356287559248188,Homo sapiens,TET2,cr,None,Neuronal Progenitor cell,None,1
1198|BRF2,0.6356287559248188,Homo sapiens,BRF2,tf,HeLa,Epithelium,Cervix,0
52216|TALE,0.6356287559248188,Homo sapiens,TALE,other,HEK293T,Epithelium,Embryonic Kidney,0
41377|PR,0.6356287559248188,Homo sapiens,PR,predicted transcription factor,None,Endothelial Cell,Umbilical Vein,0
42860|PCF11,0.6356287559248188,Homo sapiens,PCF11,not sure,LoVo,None,Colon,0
48610|AGO1,0.6356287559248188,Homo sapiens,AGO1,other,MCF-7,Epithelium,Breast,0
48611|AGO1,0.6356287559248188,Homo sapiens,AGO1,other,None,Epithelium,None,0
38859|CEBPE,0.6356287559248188,Homo sapiens,CEBPE,tf,LoVo,None,Colon,0
44493|LMNA,0.6356287559248188,Homo sapiens,LMNA,not sure,None,Fibroblast,None,1
71169|AR,0.6356287559248188,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,0
38842|YBX3,0.6356287559248188,Homo sapiens,YBX3,tf,LoVo,None,Colon,0
38857|HES2,0.6356287559248188,Homo sapiens,HES2,tf,LoVo,None,Colon,0
76473|CCNT1,0.6356287559248188,Homo sapiens,CCNT1,tf,LNCaP,Epithelium,Prostate,0
42761|GATAD1,0.6356287559248188,Homo sapiens,GATAD1,predicted chromatin regulator,LoVo,None,Colon,0
38855|SRF,0.6356287559248188,Homo sapiens,SRF,tf,LoVo,None,Colon,0
38851|MEF2C,0.6356287559248188,Homo sapiens,MEF2C,predicted transcription factor,LoVo,None,Colon,0
51751|FOXP1,0.6356287559248188,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,0
42733|MYC,0.6356287559248188,Homo sapiens,MYC,tf,LoVo,None,Colon,0
49631|MED1,0.6356287559248188,Homo sapiens,MED1,predicted transcription factor,MCF-7,Epithelium,Breast,0
76472|CCNT1,0.6356287559248188,Homo sapiens,CCNT1,tf,LNCaP,Epithelium,Prostate,0
