,0,TF
UP00175|Lhx9,0.5678063783292328,Lhx9
UP00120|Lbx2,0.5680478858149096,Lbx2
UP00021|Zfp281,0.5682174219776444,Zfp281
MS00317|HLF,0.570472297013362,HLF
UP00101|Sox12,0.5713081938834083,Sox12
M01596|GLI3,0.5960626832161746,GLI3
MS00501|Zfp652,0.5976784535296122,Zfp652
MS00585|OTX2,0.6004060023784574,OTX2
MC00324|Gata4,0.6099398869817916,Gata4
MC00269|SOX2,0.614536224100311,SOX2
MC00146|Smad2/3,0.6157471961843282,Smad2/3
MC00513|SFPI1,0.6253845210727581,SFPI1
M00624|DBP,0.6270613913313858,DBP
UP00096|SOX13,0.6283209169042325,SOX13
MS00668|Nr2e1,0.6390903986126655,Nr2e1
UP00238|Nkx6-3,0.639187352329963,Nkx6-3
MA0164|NR2E3,0.640120335585743,NR2E3
MC00211|NFATC1,0.6429790106207565,NFATC1
UP00126|DLX2,0.6438786610168344,DLX2
MS00053|TCF7L1,0.6455626317118333,TCF7L1
M01435|Rhox6,0.6479794395940808,Rhox6
MC00467|RXRA,0.6490655560790866,RXRA
MS00337|NFIL3,0.6523201714252561,NFIL3
MC00321|JUN,0.6526766212227607,JUN
M01709|MAFA,0.6551187476429374,MAFA
MS00665|NR4A2,0.6555682705744201,NR4A2
UP00166|BARHL1,0.6559926407517573,BARHL1
