Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
6263	52629	FOXA1	MCF-7	Epithelium	Breast	0.9999986967818086	0.15639117252149326	0.5926818648156224	0.9999960903203081
6264	54064	PR	T47D	Epithelium	Mammary Gland	0.9999987176053443	0.000961548810217682	0.024137450631824545	0.9999961474737387
6265	41167	CEBPA	SGBS	Adipocyte	Adipose	0.9999987308843441	0.003468728514254167	0.08638501222833017	0.9999961912049747
6266	33135	ESR1	MCF-7	Epithelium	Breast	0.9999987533274801	0.0062223597495190035	0.03365706385065227	0.999996259094984
6267	68217	AR	LNCaP	Epithelium	Prostate	0.9999988033660488	0.014447245119246981	0.042883895841910574	0.9999964097013972
6268	68797	SATB1	SH-SY5Y	Neuron	None	0.9999988048407967	0.7570105599871093	0.9214809393068342	0.9999964145899218
6269	65174	ZNF8	HEK293	Epithelium	Embryonic Kidney	0.9999991335046665	3.56701772417343e-06	3.2504984201907654e-05	0.9999964411272784
6270	42154	CTCF	HCT-116	None	Colon	0.9999989152315472	1.4002424270458217e-05	0.009159830065675598	0.9999964719594814
6271	49621	RARA	MCF-7	Epithelium	Breast	0.9999988429526588	0.1339524732786317	0.21084810213763006	0.9999965288136072
6272	67596	FOXA1	CFPAC-1	None	Pancreatic ductal	0.9999988443476284	0.05788048805351448	0.5227873664747561	0.9999965329753295
6273	53960	ESR1	T47D	Epithelium	Mammary Gland	0.9999988556690191	0.009837145091917946	0.03551641904179197	0.9999965664976066
6274	49724	ASCL1	NCI-H128	Epithelium	Lung	0.9999988890983458	0.00017523817322745514	0.010772795099412992	0.9999966456849884
6275	53479	MBD2	HMLER	None	None	0.9999989057891852	0.000727859903431922	0.21694338517384587	0.9999967124113149
6276	64486	FOSL2	A549	Epithelium	Lung	0.9999989819611945	0.06827573182243074	0.08528541554936364	0.9999969458031632
6277	45655	JUND	GM12878	B Lymphocyte	Blood	0.9999990040064182	6.0934756971362325e-05	0.006382996017691281	0.9999969618865445
