,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
45770|TFAP2C,2.436416852888707e-13,Homo sapiens,TFAP2C,predicted transcription factor,HeLa-S3,Epithelium,Cervix,1,TFAP2C
42720|HOXA4,2.522122224301619e-13,Homo sapiens,HOXA4,tf,LoVo,None,Colon,1,HOXA4
68456|USF1,2.522122224301619e-13,Homo sapiens,USF1,tf,None,Erythroid Cell,None,1,USF1
37621|CBFB,2.6715876386611144e-13,Homo sapiens,CBFB,predicted transcription factor,U937,None,Pleura,1,CBFB
67714|CREB1,3.137902862546045e-13,Homo sapiens,CREB1,tf,LNCaP,Epithelium,Prostate,1,CREB1
36842|FOXA1,3.641960505282459e-13,Homo sapiens,FOXA1,tf,MDA-MB-453,Epithelium,Mammary Gland,1,FOXA1
62610|H2AFZ,3.705004565332301e-13,Homo sapiens,H2AFZ,,MCF-7,Epithelium,Breast,1,H2AFZ
43099|RUNX1,4.153542900165674e-13,Homo sapiens,RUNX1,tf,CUTLL1,T Lymphocyte,Blood,1,RUNX1
48576|KDM6B,4.298206612832075e-13,Homo sapiens,KDM6B,cr,CUTLL1,T Lymphocyte,Blood,1,KDM6B
42212|STAT3,4.762517293690513e-13,Homo sapiens,STAT3,tf,OCI-Ly10,B Lymphocyte,Bone Marrow,1,STAT3
50413|KLF11,4.78970803844907e-13,Homo sapiens,KLF11,tf,hMADS-3,Adipocyte,Adipose,1,KLF11
55468|NELFA,4.872197665974919e-13,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
37056|FLI1,5.366654574980015e-13,Homo sapiens,FLI1,tf,U937,None,Pleura,1,FLI1
49481|RPE,5.943870798357505e-13,Homo sapiens,RPE,other,None,Retinal pigment cell,None,1,RPE
42722|HOXA6,6.149490121734286e-13,Homo sapiens,HOXA6,tf,LoVo,None,Colon,1,HOXA6
49493|CDK7,7.205102285572188e-13,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1,CDK7
8807|CHD1,9.603503826153958e-13,Homo sapiens,CHD1,predicted chromatin regulator,H1,Embryonic Stem Cell,Embryo,1,CHD1
49778|CHD8,1.0044836212847133e-12,Homo sapiens,CHD8,cr,None,iPSC,None,1,CHD8
46127|ELF1,1.0447277743497303e-12,Homo sapiens,ELF1,tf,GM12878,B Lymphocyte,Blood,1,ELF1
33934|CTCF,1.0506045521955352e-12,Homo sapiens,CTCF,tf,MM1.S,B Lymphocyte,Blood,1,CTCF
56961|GTF2B,1.1174279803231161e-12,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
43400|XBP1,1.1427467085001882e-12,Homo sapiens,XBP1,tf,T47D,Epithelium,Mammary Gland,1,XBP1
34396|MECP2,1.1491637953103652e-12,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1,MECP2
53300|RARA,1.1884151577414793e-12,Homo sapiens,RARA,tf,TSU-1621-MT,None,None,1,RARA
8412|GATA2,1.4775748042215177e-12,Homo sapiens,GATA2,tf,None,Haematopoietic Progenitor Cell,Blood,1,GATA2
39352|GATA1,1.570921170462411e-12,Homo sapiens,GATA1,tf,None,Erythroid Cell,None,1,GATA1
42708|ATF2,1.570921170462411e-12,Homo sapiens,ATF2,predicted transcription factor,LoVo,None,Colon,1,ATF2
76682|ASXL1,1.6793525540899961e-12,Homo sapiens,ASXL1,tf,HEK293,None,None,1,ASXL1
394|RBPJ,1.6793525540899961e-12,Homo sapiens,RBPJ,tf,CUTLL1,T Lymphocyte,Blood,1,RBPJ
69813|NELFE,1.698124269651852e-12,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,NELFE
46160|PAX5,1.698124269651852e-12,Homo sapiens,PAX5,tf,GM12892,Lymphoblastoid,Blood,1,PAX5
40164|RUNX1T1,1.765459679613002e-12,Homo sapiens,RUNX1T1,tf,Kasumi-1,Myeloblast,Blood,1,RUNX1T1
74571|MAZ,1.897526669399093e-12,Homo sapiens,MAZ,tf,T778,None,None,1,MAZ
68223|NR3C1,1.9508602721551435e-12,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1,NR3C1
53323|INTS3,2.3939023225195554e-12,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
63757|ZBTB33,2.4071526502090487e-12,Homo sapiens,ZBTB33,tf,None,None,Liver,1,ZBTB33
70814|SP1,2.7026177147642033e-12,Homo sapiens,SP1,predicted chromatin regulator,HCT-116,Colon cancer cell,Colon,1,SP1
50372|SUZ12,2.919048326446916e-12,Homo sapiens,SUZ12,cr,None,Proerythroblast,Fetal Liver,1,SUZ12
35878|BRD2,2.95132223556097e-12,Homo sapiens,BRD2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,BRD2
36819|ESR1,3.404090115000983e-12,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1,ESR1
74682|FOXO3,3.6155309294936843e-12,Homo sapiens,FOXO3,tf,HepG2,Epithelium,Liver,1,FOXO3
36804|NR2F2,3.818884378010661e-12,Homo sapiens,NR2F2,tf,MCF-7,Epithelium,Breast,1,NR2F2
45949|IRF1,3.989599047464007e-12,Homo sapiens,IRF1,tf,K562,Erythroblast,Bone Marrow,1,IRF1
43097|ETS1,4.259778628797285e-12,Homo sapiens,ETS1,tf,CUTLL1,T Lymphocyte,Blood,1,ETS1
44562|EMX1,4.401511288727881e-12,Homo sapiens,EMX1,tf,293FT,None,Embryonic Kidney,1,EMX1
55667|PAF1,4.474100034166741e-12,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
47416|ERG,4.77636680888113e-12,Homo sapiens,ERG,other,Jurkat,T Lymphocyte,Blood,1,ERG
56820|TFAP2A,5.098613101204584e-12,Homo sapiens,TFAP2A,predicted transcription factor,None,Neural crest cell,Cranial,1,TFAP2A
51863|HSF1,6.065686562424576e-12,Homo sapiens,HSF1,tf,451Lu,Melanoma Cell,None,1,HSF1
71042|ZNF143,6.300052766936644e-12,Homo sapiens,ZNF143,predicted transcription factor,MCF-7,MCF 7 Cells,None,1,ZNF143
50565|MYB,6.368628281996251e-12,Homo sapiens,MYB,tf,Jurkat,T Lymphocyte,Blood,1,MYB
70759|OGT,6.906777685261543e-12,Homo sapiens,OGT,other,HEK293,HEK 293 Cell Line,None,1,OGT
53325|SUPT5H,7.489387920525216e-12,Homo sapiens,SUPT5H,tf,HeLa,Epithelium,Cervix,1,SUPT5H
46328|REST,8.661754535863506e-12,Homo sapiens,REST,tf,PANC-1,None,Pancreas,0,REST
64866|ZFX,9.189311980050222e-12,Homo sapiens,ZFX,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZFX
39350|KLF1,9.800729272389117e-12,Homo sapiens,KLF1,predicted transcription factor,None,Erythroid Cell,None,1,KLF1
38865|E2F2,1.1447495348951587e-11,Homo sapiens,E2F2,tf,LoVo,None,Colon,1,E2F2
56054|ATF1,1.169491287573903e-11,Homo sapiens,ATF1,tf,HepG2,Epithelium,Liver,1,ATF1
43050|BRD3,1.2011555829153784e-11,Homo sapiens,BRD3,predicted chromatin regulator,MM1.S,B Lymphocyte,Blood,1,BRD3
74357|NEUROD1,1.2402618429528529e-11,Homo sapiens,NEUROD1,tf,D-341,None,None,1,NEUROD1
42637|CREBBP,1.3293165739678822e-11,Homo sapiens,CREBBP,cr,HEK293,Epithelium,Embryonic Kidney,1,CREBBP
70731|FOXK1,1.3871992205442824e-11,Homo sapiens,FOXK1,tf,HEK293,HEK 293 Cell Line,None,1,FOXK1
50107|CHRM2,1.4170585131054875e-11,Homo sapiens,CHRM2,predicted chromatin regulator,U937,None,Pleura,1,CHRM2
9317|SMC1A,1.4475466114173906e-11,Homo sapiens,SMC1A,predicted chromatin regulator,BCBL1,B cell lymphoma,None,1,SMC1A
53493|SOX9,1.4944861395793574e-11,Homo sapiens,SOX9,tf,HT29,Epithelium,Colon,1,SOX9
45767|HCFC1,1.518511332386047e-11,Homo sapiens,HCFC1,tf,HeLa-S3,Epithelium,Cervix,1,HCFC1
74432|TFAP4,1.55939593075156e-11,Homo sapiens,TFAP4,,SNU175,Colorectal cancer cell line,None,1,TFAP4
67768|NFE2,1.567701182439668e-11,Homo sapiens,NFE2,tf,F5,Erythroid Progenitor Cell,Fetal Liver,1,NFE2
49447|HIF1A,1.6013572662168538e-11,Homo sapiens,HIF1A,predicted chromatin regulator,T47D,Epithelium,Mammary Gland,1,HIF1A
47601|KLF5,1.6531712079276172e-11,Homo sapiens,KLF5,tf,KATO III,None,Stomach,1,KLF5
52153|FAIRE,1.724815675657237e-11,Homo sapiens,FAIRE,other,None,Macrophage,None,1,FAIRE
276|SMAD3,1.847768172300031e-11,Homo sapiens,SMAD3,tf,BG03,Embryonic Stem Cell,Embryo,1,SMAD3
56353|CDK8,2.2230094599020376e-11,Homo sapiens,CDK8,tf,MOLM-14,Myeloid Cell,None,1,CDK8
70804|TCF7L1,2.418469777950473e-11,Homo sapiens,TCF7L1,tf,HCT-116,Colon cancer cell,Colon,1,TCF7L1
41573|ING5,2.772504420509148e-11,Homo sapiens,ING5,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING5
68051|NFKB1,2.8017469945730322e-11,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB1
65056|TGIF2,3.0308935251343426e-11,Homo sapiens,TGIF2,tf,HepG2,Epithelium,Liver,1,TGIF2
1345|SMARCB1,3.062798906025716e-11,Homo sapiens,SMARCB1,cr,HeLa,Epithelium,Cervix,1,SMARCB1
76965|CNOT3,3.2612448419036666e-11,Homo sapiens,CNOT3,tf,None,None,Snap-frozen tissue,1,CNOT3
42715|GLI2,3.295519678157491e-11,Homo sapiens,GLI2,tf,LoVo,None,Colon,1,GLI2
62841|SP3,3.3651295566591855e-11,Homo sapiens,SP3,tf,HEK293,Epithelium,Embryonic Kidney,1,SP3
63689|GLIS1,3.73532700411765e-11,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS1
9198|TCF12,3.8140069803763735e-11,Homo sapiens,TCF12,tf,RPMI-8402,T cell leukemia,Blood,1,TCF12
49949|KLF9,4.123752119831711e-11,Homo sapiens,KLF9,tf,GBM1A,Glioblastoma Stem Cell,None,1,KLF9
52087|TRIM28,4.123752119831711e-11,Homo sapiens,TRIM28,cr,None,Hematopoietic Stem Cell,None,1,TRIM28
55718|SUMO2,4.321266435560547e-11,Homo sapiens,SUMO2,other,VCaP,Epithelium,Prostate,1,SUMO2
1013|FOXP1,4.5280209406985316e-11,Homo sapiens,FOXP1,tf,H9,Embryonic Stem Cell,Embryo,1,FOXP1
36226|DCP1A,4.5280209406985316e-11,Homo sapiens,DCP1A,tf,HEK293,Epithelium,Embryonic Kidney,1,DCP1A
46237|GABPA,4.869004485735664e-11,Homo sapiens,GABPA,tf,HepG2,Epithelium,Liver,1,GABPA
46115|POU2F2,5.1811567862649006e-11,Homo sapiens,POU2F2,tf,GM12878,B Lymphocyte,Blood,1,POU2F2
63825|GLIS2,6.27189947902141e-11,Homo sapiens,GLIS2,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS2
75284|ZBTB48,7.280850965038858e-11,Homo sapiens,ZBTB48,,HeLa,None,None,1,ZBTB48
71322|RAD21,7.356002400455419e-11,Homo sapiens,RAD21,not sure,HCT-116,Colon cancer cell,Colon,1,RAD21
46195|TAF7,8.404723242380214e-11,Homo sapiens,TAF7,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,TAF7
49002|ELL2,8.666738518361944e-11,Homo sapiens,ELL2,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,ELL2
42775|NPAT,9.121270143870672e-11,Homo sapiens,NPAT,tf,LoVo,None,Colon,1,NPAT
38653|MED12,9.262114105892071e-11,Homo sapiens,MED12,predicted transcription factor,LoVo,None,Colon,1,MED12
43305|CDK6,9.947980125511187e-11,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
69201|TRIM24,1.0792680018313236e-10,Homo sapiens,TRIM24,both predicted transcription factor and chromatin regulator,LNCaP,Epithelium,Prostate,1,TRIM24
53076|RBP2,1.11271773872597e-10,Homo sapiens,RBP2,other,U937,None,Pleura,1,RBP2
46295|ZBTB7A,1.147179420723655e-10,Homo sapiens,ZBTB7A,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZBTB7A
73984|CD34,1.2192587979071013e-10,Homo sapiens,CD34,other,None,None,Thymus,1,CD34
