,0,TF
MS00300|CEBPE,0.001318881276780738,CEBPE
MC00224|EPAS1,0.0013448914672260527,EPAS1
M00456|BPTF,0.0014362679054264664,BPTF
MS00398|Foxk1,0.0015069371530568084,Foxk1
MC00129|Fli1,0.001771248742375759,Fli1
MS00358|FOXD3,0.0018209578253276161,FOXD3
UP00192|SIX1,0.001823595793042976,SIX1
M01247|NANOG,0.0019202816393933623,NANOG
M00467|ZNF423,0.0019384812860040056,ZNF423
MS00302|CEBPG,0.0020497883244736947,CEBPG
UP00199|SIX4,0.002089301358434242,SIX4
MA0155|INSM1,0.002140881285903946,INSM1
MS00713|THRB,0.002155385732413306,THRB
MC00467|RXRA,0.002253660513604323,RXRA
UP00138|Bsx,0.002291903042835194,Bsx
M01288|NEUROD1,0.0023759262158211743,NEUROD1
M01596|GLI3,0.0023975415484017684,GLI3
MC00465|NR3C1,0.002571027456884359,NR3C1
MS00556|GRHL1,0.0028359966209953406,GRHL1
MC00111|Bcl6,0.002888262898555482,Bcl6
MS00264|MESP1,0.0033024656195937176,MESP1
MS00609|RHOXF1,0.0034002476010301635,RHOXF1
UP00213|HOXA9,0.0037003738940983477,HOXA9
MC00157|Tead4,0.00370932733060093,Tead4
UP00151|BARX2,0.0038754107286993428,BARX2
UP00248|Pax7,0.003893198809161051,Pax7
MA0073|RREB1,0.003995918561160374,RREB1
MS00065|IRF4,0.004146027112216006,IRF4
MC00468|AR,0.004837016801080397,AR
MS00218|T,0.0050907805626472305,T
MC00348|STAT1,0.0052039626246963505,STAT1
MC00304|FOXH1,0.005309060792438507,FOXH1
MC00124|MAX,0.005475483830779946,MAX
MS00571|NKX2-8,0.005788795955252195,NKX2-8
MS00503|HOXC12,0.0058996355305067786,HOXC12
UP00048|RARA,0.00635158803224514,RARA
MS00401|ZNF306,0.006485375283119626,ZNF306
MS00836|HOXD12,0.006572082217519708,HOXD12
MS00708|Rxrb,0.007242216378291633,Rxrb
MC00135|Rela,0.007251056666689452,Rela
M01069|GZF1,0.007884215436407662,GZF1
MS00514|Hoxa11,0.00789648837606465,Hoxa11
MS00386|FOXO6,0.007933155530966615,FOXO6
UP00043|Bcl6b,0.008002742282478522,Bcl6b
MS00512|Zfp740,0.008656711518391095,Zfp740
UP00161|Hmbox1,0.009224338703159765,Hmbox1
MS00685|RORA,0.009487588964972956,RORA
MC00408|Myb,0.009548311153201419,Myb
UP00009|Nr2f2,0.010001079073378293,Nr2f2
UP00243|Isx,0.011085793700540891,Isx
MS00294|ATF7,0.011264459046927395,ATF7
MC00476|Rarg,0.012088159366529638,Rarg
MS00251|BHLHE41,0.013713730668916303,BHLHE41
MS00325|Jdp2,0.013815191146006095,Jdp2
MS00267|MNT,0.013944643153309252,MNT
UP00194|IRX4,0.015431907159831731,IRX4
MS00479|ZNF784,0.01580815113023414,ZNF784
UP00159|SIX2,0.01660782643698276,SIX2
MS00247|BHLHB2,0.01660939209261085,BHLHB2
MC00357|Crx,0.016639058914466816,Crx
UP00185|PBX1,0.016873903844061545,PBX1
M00420|MEIS1::HOXA9,0.01701937443929871,MEIS1::HOXA9
MC00136|Hoxb4,0.017875844789479234,Hoxb4
MC00342|YY1,0.01888434961249374,YY1
MA0081|SPIB,0.01929968576306523,SPIB
MS00526|IRX2,0.02059597926778647,IRX2
M00433|Hmx3,0.02068642962729777,Hmx3
UP00221|PHOX2A,0.021646148397643363,PHOX2A
MC00276|EOMES,0.023183119727395122,EOMES
MC00396|Nr3c1,0.024879652125849246,Nr3c1
MA0386|TBP,0.02646995759662728,TBP
UP00175|Lhx9,0.026529895713523124,Lhx9
UP00125|PITX2,0.026865267913774547,PITX2
MS00343|FOXB1,0.02729333623914078,FOXB1
UP00075|Sox15,0.027658717389870482,Sox15
MC00362|Arntl,0.027821594382806215,Arntl
